Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Light Gradient Boosting Machine,0.9325,1.6121,1.2672,0.7009,0.4372,0.3326,0.249,"(1, 6, 13)"
Gradient Boosting Regressor,1.1651,2.3132,1.5185,0.5704,0.5168,0.3866,0.585,"(1, 6, 13)"
Linear Regression,1.6452,4.3471,2.0836,0.1932,0.6446,0.5674,0.169,"(1, 6, 13)"
Ridge Regression,1.7076,4.4881,2.1168,0.1672,0.6581,0.5876,0.171,"(1, 6, 13)"
AdaBoost Regressor,1.7152,4.1434,2.0339,0.2304,0.6786,0.6473,0.226,"(1, 6, 13)"
Bayesian Ridge,1.7189,4.5227,2.1251,0.1607,0.6591,0.594,0.172,"(1, 6, 13)"
Orthogonal Matching Pursuit,1.862,5.082,2.2532,0.0574,0.6921,0.6679,0.175,"(1, 6, 13)"
Elastic Net,1.8717,5.1114,2.2598,0.052,0.6973,0.6658,0.175,"(1, 6, 13)"
Lasso Regression,1.8871,5.1885,2.2768,0.0377,0.7041,0.668,0.175,"(1, 6, 13)"
Lasso Least Angle Regression,1.8871,5.1885,2.2768,0.0377,0.7041,0.668,0.169,"(1, 6, 13)"
Huber Regressor,1.9008,5.5621,2.3565,-0.0305,0.6897,0.6046,0.176,"(1, 6, 13)"
Dummy Regressor,1.9498,5.4303,2.3288,-0.0061,0.717,0.7066,0.175,"(1, 6, 13)"
Passive Aggressive Regressor,2.2425,8.196,2.8143,-0.5114,0.8872,0.8104,0.174,"(1, 6, 13)"
Least Angle Regression,24647.7535,12193578810.3096,41226.0743,-2527195865.5343,4.6066,11628.6912,0.174,"(1, 6, 13)"
K Neighbors Regressor,0.2888,0.2733,0.5207,0.9537,0.1924,0.1047,0.173,"(1, 6, 15)"
Random Forest Regressor,0.8448,1.5482,1.2372,0.7418,0.4185,0.2463,0.636,"(1, 6, 15)"
Light Gradient Boosting Machine,0.9225,1.6342,1.2717,0.7268,0.4452,0.2914,0.253,"(1, 6, 15)"
Decision Tree Regressor,0.9226,2.8427,1.6757,0.5212,0.5344,0.3073,0.179,"(1, 6, 15)"
Extra Trees Regressor,0.9229,1.6166,1.2683,0.7279,0.4397,0.2812,0.301,"(1, 6, 15)"
Gradient Boosting Regressor,1.1434,2.3629,1.5315,0.6051,0.5175,0.352,0.551,"(1, 6, 15)"
Linear Regression,1.6928,4.5865,2.1391,0.228,0.6477,0.5717,0.178,"(1, 6, 15)"
Ridge Regression,1.7596,4.8006,2.1886,0.1929,0.6629,0.5936,0.176,"(1, 6, 15)"
Bayesian Ridge,1.7697,4.8298,2.1949,0.1884,0.6643,0.5992,0.179,"(1, 6, 15)"
AdaBoost Regressor,1.785,4.5274,2.1237,0.2406,0.6856,0.6577,0.221,"(1, 6, 15)"
Orthogonal Matching Pursuit,1.9108,5.4192,2.3241,0.0918,0.6936,0.6768,0.177,"(1, 6, 15)"
Elastic Net,1.9245,5.4453,2.3298,0.0874,0.6988,0.6795,0.177,"(1, 6, 15)"
Lasso Regression,1.9423,5.5156,2.3448,0.0756,0.7053,0.6849,0.175,"(1, 6, 15)"
Lasso Least Angle Regression,1.9423,5.5156,2.3448,0.0756,0.7053,0.6849,0.177,"(1, 6, 15)"
Huber Regressor,1.9867,6.0165,2.4493,-0.0086,0.7055,0.6334,0.183,"(1, 6, 15)"
Dummy Regressor,2.0493,6.0018,2.4463,-0.0059,0.7325,0.7398,0.186,"(1, 6, 15)"
Passive Aggressive Regressor,2.4621,9.7574,3.0806,-0.6412,0.9398,0.8354,0.177,"(1, 6, 15)"
Least Angle Regression,8279.2724,1997357787.7442,14581.8134,-418739875.3983,3.2163,3991.5275,0.176,"(1, 6, 15)"
K Neighbors Regressor,0.2823,0.253,0.4989,0.9538,0.1861,0.1076,0.184,"(1, 6, 16)"
Random Forest Regressor,0.7759,1.2736,1.1259,0.7687,0.395,0.2439,0.714,"(1, 6, 16)"
Decision Tree Regressor,0.7815,2.1298,1.4484,0.6142,0.4652,0.2859,0.188,"(1, 6, 16)"
Light Gradient Boosting Machine,0.8736,1.4595,1.2056,0.7357,0.4174,0.2999,0.258,"(1, 6, 16)"
Extra Trees Regressor,0.9042,1.535,1.2372,0.722,0.4287,0.2927,0.312,"(1, 6, 16)"
Gradient Boosting Regressor,1.123,2.16,1.4689,0.6077,0.5018,0.3709,0.591,"(1, 6, 16)"
Linear Regression,1.6125,4.167,2.0381,0.2469,0.6264,0.5773,0.183,"(1, 6, 16)"
Ridge Regression,1.7034,4.4909,2.1173,0.1877,0.6488,0.6001,0.174,"(1, 6, 16)"
Bayesian Ridge,1.7172,4.5383,2.1284,0.179,0.6519,0.6059,0.18,"(1, 6, 16)"
AdaBoost Regressor,1.7958,4.4898,2.1174,0.1878,0.6891,0.6899,0.219,"(1, 6, 16)"
Orthogonal Matching Pursuit,1.8757,5.1391,2.2646,0.0722,0.6889,0.6806,0.18,"(1, 6, 16)"
Elastic Net,1.8884,5.1686,2.271,0.0671,0.6941,0.6816,0.181,"(1, 6, 16)"
Lasso Regression,1.9064,5.2472,2.2881,0.0531,0.7009,0.6864,0.183,"(1, 6, 16)"
Lasso Least Angle Regression,1.9064,5.2472,2.2881,0.0531,0.7009,0.6864,0.18,"(1, 6, 16)"
Huber Regressor,1.9145,5.5678,2.3564,-0.004,0.6929,0.6153,0.181,"(1, 6, 16)"
Dummy Regressor,1.9815,5.5614,2.356,-0.0042,0.7175,0.7285,0.186,"(1, 6, 16)"
Passive Aggressive Regressor,2.2536,8.8053,2.9486,-0.5886,0.8405,0.658,0.178,"(1, 6, 16)"
Least Angle Regression,39435.3519,15395805393.8567,55163.8915,-2461473926.4882,3.9501,18207.2193,0.183,"(1, 6, 16)"
K Neighbors Regressor,0.2718,0.2555,0.5019,0.9563,0.1824,0.105,0.186,"(1, 6, 17)"
Random Forest Regressor,0.8733,1.5598,1.2415,0.7353,0.4353,0.257,0.684,"(1, 6, 17)"
Extra Trees Regressor,0.9502,1.7082,1.3018,0.7097,0.45,0.2947,0.313,"(1, 6, 17)"
Light Gradient Boosting Machine,0.969,1.7548,1.3222,0.6989,0.4577,0.321,0.252,"(1, 6, 17)"
Decision Tree Regressor,0.982,3.0073,1.7268,0.4737,0.5553,0.3718,0.194,"(1, 6, 17)"
Gradient Boosting Regressor,1.2306,2.5536,1.5954,0.5615,0.5424,0.3759,0.572,"(1, 6, 17)"
Linear Regression,1.7038,4.5981,2.1387,0.2147,0.6611,0.5706,0.194,"(1, 6, 17)"
Ridge Regression,1.795,4.8885,2.2062,0.166,0.6827,0.5961,0.186,"(1, 6, 17)"
Bayesian Ridge,1.8083,4.9409,2.218,0.1573,0.6852,0.6027,0.19,"(1, 6, 17)"
AdaBoost Regressor,1.8386,4.7298,2.17,0.1941,0.7083,0.6491,0.231,"(1, 6, 17)"
Orthogonal Matching Pursuit,1.9686,5.5439,2.3479,0.0579,0.7161,0.6906,0.185,"(1, 6, 17)"
Elastic Net,1.9791,5.5702,2.3534,0.0538,0.7213,0.6877,0.191,"(1, 6, 17)"
Lasso Regression,1.9936,5.6414,2.3685,0.0417,0.728,0.6885,0.19,"(1, 6, 17)"
Lasso Least Angle Regression,1.9936,5.6414,2.3685,0.0417,0.728,0.6885,0.188,"(1, 6, 17)"
Huber Regressor,1.9952,5.9339,2.4279,-0.0059,0.7185,0.6201,0.189,"(1, 6, 17)"
Dummy Regressor,2.0594,5.9251,2.4285,-0.008,0.7452,0.7307,0.193,"(1, 6, 17)"
Passive Aggressive Regressor,3.589,19.3186,4.1073,-2.1804,1.0661,1.6308,0.189,"(1, 6, 17)"
Least Angle Regression,6455.2679,420558475.7443,10244.6473,-73740694.2014,4.0765,3062.1281,0.191,"(1, 6, 17)"
K Neighbors Regressor,0.3201,0.3513,0.586,0.9417,0.2104,0.1111,0.19,"(1, 8, 9)"
Random Forest Regressor,1.0095,1.9865,1.4054,0.6696,0.4684,0.3042,0.661,"(1, 8, 9)"
Light Gradient Boosting Machine,1.0682,2.1666,1.4666,0.6398,0.4852,0.3422,0.263,"(1, 8, 9)"
Extra Trees Regressor,1.0937,2.1741,1.4698,0.6377,0.4875,0.3377,0.316,"(1, 8, 9)"
Decision Tree Regressor,1.121,3.9294,1.9685,0.3499,0.6002,0.395,0.194,"(1, 8, 9)"
Gradient Boosting Regressor,1.3064,2.9063,1.7018,0.5153,0.5512,0.4107,0.55,"(1, 8, 9)"
Linear Regression,1.7123,4.6627,2.155,0.2235,0.6538,0.5676,0.187,"(1, 8, 9)"
Ridge Regression,1.7959,5.0046,2.234,0.1663,0.6823,0.5757,0.189,"(1, 8, 9)"
Bayesian Ridge,1.8143,5.0624,2.2471,0.1568,0.6862,0.583,0.189,"(1, 8, 9)"
AdaBoost Regressor,1.882,4.9571,2.2251,0.1724,0.72,0.6576,0.255,"(1, 8, 9)"
Orthogonal Matching Pursuit,1.9159,5.4979,2.3427,0.084,0.7105,0.6239,0.192,"(1, 8, 9)"
Elastic Net,1.9283,5.5256,2.3488,0.0791,0.7158,0.6238,0.193,"(1, 8, 9)"
Lasso Regression,1.9469,5.5994,2.3646,0.0667,0.7223,0.6278,0.189,"(1, 8, 9)"
Lasso Least Angle Regression,1.9469,5.5994,2.3646,0.0667,0.7223,0.6278,0.187,"(1, 8, 9)"
Huber Regressor,1.9829,5.9976,2.4466,0.0014,0.7176,0.5973,0.19,"(1, 8, 9)"
Dummy Regressor,2.0514,6.0256,2.453,-0.004,0.7457,0.6924,0.192,"(1, 8, 9)"
Passive Aggressive Regressor,2.5167,10.0217,3.1389,-0.6948,0.9058,0.8776,0.189,"(1, 8, 9)"
Least Angle Regression,1101.691,16490780.3872,1450.9186,-2830400.9755,2.4433,427.5402,0.189,"(1, 8, 9)"
K Neighbors Regressor,0.3217,0.3331,0.5742,0.9497,0.2125,0.102,0.197,"(1, 8, 10)"
Random Forest Regressor,1.0507,2.1115,1.4483,0.6837,0.4817,0.295,0.689,"(1, 8, 10)"
Light Gradient Boosting Machine,1.089,2.2333,1.4888,0.6647,0.4903,0.328,0.265,"(1, 8, 10)"
Decision Tree Regressor,1.1025,3.9621,1.9685,0.4084,0.5938,0.3407,0.2,"(1, 8, 10)"
Extra Trees Regressor,1.105,2.2412,1.4927,0.6639,0.4884,0.3179,0.319,"(1, 8, 10)"
Gradient Boosting Regressor,1.407,3.2509,1.8015,0.5093,0.5742,0.4165,0.556,"(1, 8, 10)"
Linear Regression,1.7577,4.952,2.2205,0.2542,0.6568,0.5457,0.194,"(1, 8, 10)"
Ridge Regression,1.8612,5.3091,2.2986,0.2024,0.6857,0.5601,0.198,"(1, 8, 10)"
Bayesian Ridge,1.8746,5.3546,2.3084,0.1957,0.6884,0.5665,0.196,"(1, 8, 10)"
AdaBoost Regressor,1.9846,5.4039,2.3226,0.1858,0.7281,0.6578,0.259,"(1, 8, 10)"
Orthogonal Matching Pursuit,2.0466,5.9954,2.4437,0.1002,0.7255,0.6481,0.194,"(1, 8, 10)"
Elastic Net,2.0605,6.0235,2.4498,0.0958,0.732,0.6507,0.197,"(1, 8, 10)"
Lasso Regression,2.0747,6.0796,2.4615,0.0871,0.7375,0.6542,0.193,"(1, 8, 10)"
Lasso Least Angle Regression,2.0747,6.0796,2.4615,0.0871,0.7375,0.6542,0.197,"(1, 8, 10)"
Huber Regressor,2.1708,6.712,2.5864,-0.0074,0.7448,0.6421,0.2,"(1, 8, 10)"
Dummy Regressor,2.2268,6.7185,2.589,-0.0099,0.7653,0.7303,0.195,"(1, 8, 10)"
Passive Aggressive Regressor,2.503,10.0542,3.1454,-0.5086,0.8454,0.6794,0.194,"(1, 8, 10)"
Least Angle Regression,16117.6785,2898787216.5342,21901.1151,-385249674.5998,4.496,6688.7845,0.193,"(1, 8, 10)"
K Neighbors Regressor,0.3131,0.3318,0.5688,0.9488,0.1997,0.1126,0.199,"(1, 8, 12)"
Random Forest Regressor,0.9818,1.889,1.3687,0.7115,0.4554,0.2962,0.701,"(1, 8, 12)"
Light Gradient Boosting Machine,1.0341,1.971,1.3988,0.7003,0.4638,0.343,0.273,"(1, 8, 12)"
Extra Trees Regressor,1.0414,2.0056,1.4127,0.6944,0.468,0.3273,0.329,"(1, 8, 12)"
Decision Tree Regressor,1.0731,3.7239,1.913,0.4353,0.5834,0.3726,0.191,"(1, 8, 12)"
Gradient Boosting Regressor,1.3083,2.8883,1.6947,0.5614,0.5468,0.4213,0.566,"(1, 8, 12)"
Linear Regression,1.8162,5.1396,2.2611,0.2198,0.6777,0.6111,0.198,"(1, 8, 12)"
Ridge Regression,1.8954,5.43,2.326,0.1748,0.6962,0.6309,0.197,"(1, 8, 12)"
Bayesian Ridge,1.9143,5.4984,2.3409,0.1639,0.701,0.6397,0.185,"(1, 8, 12)"
AdaBoost Regressor,1.959,5.3378,2.3068,0.1876,0.7319,0.7198,0.242,"(1, 8, 12)"
Orthogonal Matching Pursuit,2.0202,6.0269,2.4506,0.0845,0.7246,0.6808,0.198,"(1, 8, 12)"
Elastic Net,2.0371,6.0543,2.4565,0.0804,0.7305,0.6829,0.197,"(1, 8, 12)"
Lasso Regression,2.0582,6.1266,2.4715,0.0693,0.7373,0.688,0.188,"(1, 8, 12)"
Lasso Least Angle Regression,2.0582,6.1266,2.4715,0.0693,0.7373,0.688,0.199,"(1, 8, 12)"
Huber Regressor,2.1198,6.8997,2.6203,-0.0454,0.7344,0.6279,0.195,"(1, 8, 12)"
Dummy Regressor,2.1572,6.6791,2.5804,-0.0137,0.762,0.7402,0.196,"(1, 8, 12)"
Passive Aggressive Regressor,3.0563,15.4066,3.8304,-1.2939,1.058,1.1485,0.197,"(1, 8, 12)"
Least Angle Regression,1870829.3591,93528159465306.38,3062479.9837,-13092952741371.363,4.6963,803711.2173,0.194,"(1, 8, 12)"
K Neighbors Regressor,0.2815,0.3055,0.5394,0.9488,0.1943,0.1038,0.2,"(1, 8, 13)"
Decision Tree Regressor,0.8909,2.8728,1.6761,0.5153,0.5343,0.3136,0.196,"(1, 8, 13)"
Random Forest Regressor,0.8931,1.6165,1.267,0.7281,0.4389,0.2753,0.737,"(1, 8, 13)"
Light Gradient Boosting Machine,0.9838,1.8299,1.3472,0.6924,0.4616,0.3299,0.264,"(1, 8, 13)"
Extra Trees Regressor,0.9919,1.8405,1.3488,0.6909,0.4591,0.3112,0.331,"(1, 8, 13)"
Gradient Boosting Regressor,1.2398,2.6536,1.6259,0.554,0.54,0.3913,0.582,"(1, 8, 13)"
Linear Regression,1.7284,4.6957,2.1635,0.2096,0.6585,0.5761,0.201,"(1, 8, 13)"
Ridge Regression,1.7892,4.9578,2.2244,0.1658,0.6768,0.5867,0.201,"(1, 8, 13)"
Bayesian Ridge,1.8081,5.0168,2.2379,0.1556,0.68,0.5958,0.199,"(1, 8, 13)"
AdaBoost Regressor,1.8553,4.7925,2.1882,0.1928,0.712,0.6668,0.258,"(1, 8, 13)"
Orthogonal Matching Pursuit,1.9333,5.5034,2.345,0.073,0.7069,0.6538,0.2,"(1, 8, 13)"
Elastic Net,1.9481,5.5321,2.3513,0.0684,0.7126,0.6556,0.2,"(1, 8, 13)"
Lasso Regression,1.9662,5.6008,2.3659,0.057,0.7189,0.6592,0.2,"(1, 8, 13)"
Lasso Least Angle Regression,1.9662,5.6008,2.3659,0.057,0.7189,0.6592,0.203,"(1, 8, 13)"
Huber Regressor,1.9984,6.0574,2.4598,-0.0188,0.7136,0.6128,0.202,"(1, 8, 13)"
Dummy Regressor,2.0354,6.0113,2.4512,-0.0117,0.738,0.6943,0.201,"(1, 8, 13)"
Passive Aggressive Regressor,2.4941,10.6644,3.2365,-0.8053,0.9618,0.7673,0.191,"(1, 8, 13)"
Least Angle Regression,2311.4316,77499317.6178,2973.461,-13534076.0573,2.5979,1227.2346,0.201,"(1, 8, 13)"
K Neighbors Regressor,0.3169,0.3297,0.5687,0.9483,0.2114,0.1066,0.2,"(1, 8, 15)"
Light Gradient Boosting Machine,1.0426,2.0272,1.4215,0.6815,0.4847,0.3213,0.278,"(1, 8, 15)"
Extra Trees Regressor,1.0826,2.1539,1.4644,0.6615,0.4884,0.316,0.327,"(1, 8, 15)"
Random Forest Regressor,1.0842,2.2437,1.4941,0.6482,0.4953,0.3094,0.687,"(1, 8, 15)"
Decision Tree Regressor,1.2755,4.7948,2.168,0.2438,0.6547,0.4109,0.206,"(1, 8, 15)"
Gradient Boosting Regressor,1.2857,2.8053,1.6725,0.5592,0.5537,0.3863,0.556,"(1, 8, 15)"
Linear Regression,1.7685,5.0035,2.2352,0.2112,0.6737,0.5562,0.2,"(1, 8, 15)"
Ridge Regression,1.8249,5.2075,2.2794,0.1807,0.6858,0.5706,0.193,"(1, 8, 15)"
Bayesian Ridge,1.8444,5.2498,2.289,0.174,0.6886,0.5825,0.206,"(1, 8, 15)"
AdaBoost Regressor,1.8576,4.9546,2.2233,0.2218,0.7107,0.6335,0.245,"(1, 8, 15)"
Orthogonal Matching Pursuit,1.9385,5.6665,2.3775,0.1099,0.7073,0.6284,0.205,"(1, 8, 15)"
Elastic Net,1.9527,5.6944,2.3833,0.1057,0.7128,0.6309,0.204,"(1, 8, 15)"
Lasso Regression,1.9684,5.7571,2.3964,0.0959,0.7185,0.6348,0.2,"(1, 8, 15)"
Lasso Least Angle Regression,1.9684,5.7571,2.3964,0.0959,0.7185,0.6348,0.204,"(1, 8, 15)"
Huber Regressor,2.0581,6.4141,2.5297,-0.0072,0.7221,0.6257,0.208,"(1, 8, 15)"
Dummy Regressor,2.1026,6.4014,2.528,-0.0061,0.749,0.7031,0.209,"(1, 8, 15)"
Passive Aggressive Regressor,2.7534,11.6685,3.2146,-0.828,0.8644,1.0629,0.206,"(1, 8, 15)"
Least Angle Regression,6777.0447,682220560.0802,11032.1091,-111077370.8125,3.7168,2877.1871,0.204,"(1, 8, 15)"
K Neighbors Regressor,0.302,0.2875,0.5332,0.953,0.1974,0.1061,0.208,"(1, 8, 16)"
Decision Tree Regressor,0.8808,2.4779,1.5666,0.595,0.5072,0.3303,0.21,"(1, 8, 16)"
Random Forest Regressor,0.9074,1.6188,1.2687,0.7346,0.4379,0.2769,0.737,"(1, 8, 16)"
Extra Trees Regressor,0.9667,1.7167,1.3075,0.7177,0.4442,0.299,0.339,"(1, 8, 16)"
Light Gradient Boosting Machine,0.9891,1.8389,1.3516,0.6978,0.459,0.329,0.279,"(1, 8, 16)"
Gradient Boosting Regressor,1.2456,2.5609,1.5975,0.5791,0.5283,0.3988,0.59,"(1, 8, 16)"
Linear Regression,1.7274,4.6337,2.152,0.2381,0.6483,0.5713,0.206,"(1, 8, 16)"
Ridge Regression,1.8095,4.994,2.2335,0.1801,0.6694,0.5884,0.205,"(1, 8, 16)"
Bayesian Ridge,1.825,5.0508,2.2463,0.1707,0.6729,0.593,0.206,"(1, 8, 16)"
AdaBoost Regressor,1.89,4.9821,2.2298,0.1836,0.7124,0.6783,0.264,"(1, 8, 16)"
Orthogonal Matching Pursuit,1.9431,5.5279,2.3501,0.0921,0.701,0.6388,0.207,"(1, 8, 16)"
Elastic Net,1.9558,5.5574,2.3564,0.0874,0.7071,0.6392,0.206,"(1, 8, 16)"
Lasso Regression,1.9745,5.633,2.3724,0.0751,0.714,0.6433,0.21,"(1, 8, 16)"
Lasso Least Angle Regression,1.9745,5.633,2.3724,0.0751,0.714,0.6433,0.208,"(1, 8, 16)"
Huber Regressor,2.0408,6.2616,2.5009,-0.0274,0.716,0.6191,0.209,"(1, 8, 16)"
Dummy Regressor,2.0743,6.1811,2.4849,-0.0134,0.7387,0.6981,0.209,"(1, 8, 16)"
Passive Aggressive Regressor,2.3973,9.3551,2.9976,-0.5209,0.9084,0.7654,0.204,"(1, 8, 16)"
Least Angle Regression,85659.5395,88586914605.6892,125733.6049,-15328431466.335,6.302,38674.339,0.213,"(1, 8, 16)"
K Neighbors Regressor,0.3238,0.3762,0.6015,0.9424,0.2171,0.1057,0.208,"(1, 8, 17)"
Random Forest Regressor,0.9728,1.9088,1.379,0.7063,0.4558,0.2828,0.664,"(1, 8, 17)"
Light Gradient Boosting Machine,1.0315,2.0429,1.4247,0.6869,0.4703,0.3245,0.287,"(1, 8, 17)"
Extra Trees Regressor,1.045,2.0734,1.4387,0.6817,0.4717,0.3135,0.332,"(1, 8, 17)"
Decision Tree Regressor,1.0463,3.4454,1.8371,0.4751,0.5608,0.3428,0.205,"(1, 8, 17)"
Gradient Boosting Regressor,1.3305,2.993,1.728,0.5416,0.5578,0.3992,0.573,"(1, 8, 17)"
Linear Regression,1.8019,5.0601,2.2459,0.2263,0.6654,0.5919,0.213,"(1, 8, 17)"
Ridge Regression,1.8801,5.3604,2.3127,0.1806,0.6853,0.6118,0.207,"(1, 8, 17)"
Bayesian Ridge,1.9018,5.4385,2.3294,0.1686,0.6901,0.6199,0.203,"(1, 8, 17)"
AdaBoost Regressor,1.9515,5.2406,2.2866,0.1981,0.7165,0.6733,0.244,"(1, 8, 17)"
Orthogonal Matching Pursuit,2.0388,6.0144,2.4493,0.081,0.7209,0.6791,0.209,"(1, 8, 17)"
Elastic Net,2.0531,6.0425,2.4552,0.0764,0.7269,0.6806,0.214,"(1, 8, 17)"
Lasso Regression,2.0717,6.1175,2.4706,0.0647,0.7337,0.6842,0.209,"(1, 8, 17)"
Lasso Least Angle Regression,2.0717,6.1175,2.4706,0.0647,0.7337,0.6842,0.214,"(1, 8, 17)"
Huber Regressor,2.1193,6.6691,2.5788,-0.0179,0.7339,0.6429,0.2,"(1, 8, 17)"
Dummy Regressor,2.1755,6.5888,2.5646,-0.0071,0.7567,0.7405,0.21,"(1, 8, 17)"
Passive Aggressive Regressor,2.839,12.9663,3.5191,-1.0475,0.9768,0.9555,0.212,"(1, 8, 17)"
Least Angle Regression,6026.4079,513375640.1256,8261.0975,-77601346.9088,4.0261,2653.3451,0.213,"(1, 8, 17)"
K Neighbors Regressor,0.3203,0.3465,0.5845,0.9476,0.2034,0.1093,0.213,"(1, 9, 10)"
Random Forest Regressor,1.0256,2.0844,1.4409,0.6864,0.4693,0.2886,0.667,"(1, 9, 10)"
Decision Tree Regressor,1.0283,3.5372,1.8677,0.4604,0.5656,0.3382,0.219,"(1, 9, 10)"
Light Gradient Boosting Machine,1.0369,2.0774,1.4374,0.687,0.4687,0.3253,0.281,"(1, 9, 10)"
Extra Trees Regressor,1.1198,2.337,1.525,0.6481,0.4866,0.3292,0.324,"(1, 9, 10)"
Gradient Boosting Regressor,1.2651,2.7751,1.6629,0.5825,0.5339,0.3884,0.521,"(1, 9, 10)"
Linear Regression,1.6762,4.4602,2.1084,0.3267,0.6407,0.5582,0.213,"(1, 9, 10)"
Ridge Regression,1.8049,5.0682,2.2484,0.2368,0.6747,0.5808,0.209,"(1, 9, 10)"
Bayesian Ridge,1.8156,5.1136,2.2584,0.23,0.6766,0.5862,0.211,"(1, 9, 10)"
AdaBoost Regressor,1.9637,5.241,2.2874,0.2094,0.7252,0.7123,0.257,"(1, 9, 10)"
Orthogonal Matching Pursuit,2.0204,5.9366,2.4351,0.1045,0.7182,0.6826,0.211,"(1, 9, 10)"
Elastic Net,2.0402,5.9674,2.4414,0.0999,0.7235,0.6847,0.214,"(1, 9, 10)"
Lasso Regression,2.0648,6.0419,2.4565,0.0888,0.7306,0.6929,0.212,"(1, 9, 10)"
Lasso Least Angle Regression,2.0648,6.0419,2.4565,0.0888,0.7306,0.6929,0.211,"(1, 9, 10)"
Huber Regressor,2.1268,6.6457,2.5758,-0.0016,0.734,0.6482,0.215,"(1, 9, 10)"
Dummy Regressor,2.2054,6.6503,2.5775,-0.0031,0.7631,0.7761,0.204,"(1, 9, 10)"
Passive Aggressive Regressor,2.4432,9.6354,3.084,-0.4613,0.8541,0.7389,0.215,"(1, 9, 10)"
Least Angle Regression,23344378.2601,9702477988764332.0,34914987.6472,-1394475629943753.5,9.9472,11833489.5785,0.218,"(1, 9, 10)"
K Neighbors Regressor,0.3127,0.3141,0.552,0.9491,0.2032,0.1142,0.204,"(1, 9, 12)"
Random Forest Regressor,0.8988,1.7673,1.3209,0.7141,0.4389,0.2745,0.628,"(1, 9, 12)"
Light Gradient Boosting Machine,0.9742,1.88,1.3583,0.696,0.4526,0.3214,0.282,"(1, 9, 12)"
Extra Trees Regressor,0.9902,1.8904,1.368,0.6947,0.4583,0.3142,0.329,"(1, 9, 12)"
Decision Tree Regressor,1.036,3.6563,1.9016,0.403,0.5684,0.3627,0.209,"(1, 9, 12)"
Gradient Boosting Regressor,1.192,2.5849,1.5994,0.583,0.5227,0.3864,0.517,"(1, 9, 12)"
Linear Regression,1.6645,4.4444,2.1045,0.2773,0.6384,0.5929,0.203,"(1, 9, 12)"
Ridge Regression,1.765,4.9254,2.215,0.2016,0.671,0.5944,0.213,"(1, 9, 12)"
Bayesian Ridge,1.7745,4.9612,2.2231,0.1959,0.6733,0.5978,0.204,"(1, 9, 12)"
AdaBoost Regressor,1.8254,4.7806,2.1825,0.2252,0.7077,0.6907,0.253,"(1, 9, 12)"
Orthogonal Matching Pursuit,1.9464,5.6908,2.3807,0.0801,0.7109,0.6842,0.206,"(1, 9, 12)"
Elastic Net,1.9578,5.7153,2.3858,0.0763,0.7156,0.6822,0.203,"(1, 9, 12)"
Lasso Regression,1.974,5.7812,2.3997,0.0655,0.7219,0.6853,0.204,"(1, 9, 12)"
Lasso Least Angle Regression,1.974,5.7812,2.3997,0.0655,0.7219,0.6853,0.207,"(1, 9, 12)"
Huber Regressor,1.978,6.3319,2.508,-0.0186,0.7102,0.5971,0.197,"(1, 9, 12)"
Dummy Regressor,2.0736,6.2451,2.4932,-0.0074,0.7457,0.7465,0.208,"(1, 9, 12)"
Passive Aggressive Regressor,2.5265,10.6482,3.2209,-0.731,0.959,0.927,0.206,"(1, 9, 12)"
Least Angle Regression,103850.4152,201360024271.4116,158421.1749,-28134576505.1461,3.968,48300.4498,0.206,"(1, 9, 12)"
K Neighbors Regressor,0.2683,0.2566,0.5007,0.9541,0.1795,0.1018,0.207,"(1, 9, 13)"
Decision Tree Regressor,0.786,2.2467,1.4796,0.5979,0.4688,0.2874,0.213,"(1, 9, 13)"
Random Forest Regressor,0.8279,1.478,1.2114,0.7366,0.4087,0.2712,0.665,"(1, 9, 13)"
Light Gradient Boosting Machine,0.8923,1.5853,1.2542,0.7171,0.4229,0.3163,0.273,"(1, 9, 13)"
Extra Trees Regressor,0.9441,1.7252,1.3095,0.6928,0.4377,0.3182,0.332,"(1, 9, 13)"
Gradient Boosting Regressor,1.1022,2.1751,1.4729,0.6127,0.4905,0.3819,0.536,"(1, 9, 13)"
Linear Regression,1.5872,4.0883,2.0208,0.2714,0.6211,0.5736,0.209,"(1, 9, 13)"
Ridge Regression,1.6836,4.4935,2.119,0.1999,0.6509,0.5853,0.207,"(1, 9, 13)"
Bayesian Ridge,1.6978,4.549,2.1321,0.1901,0.6543,0.5903,0.211,"(1, 9, 13)"
AdaBoost Regressor,1.699,4.0913,2.0219,0.2697,0.6652,0.6483,0.276,"(1, 9, 13)"
Orthogonal Matching Pursuit,1.849,5.1354,2.2653,0.0859,0.6861,0.664,0.209,"(1, 9, 13)"
Elastic Net,1.8585,5.1621,2.2713,0.0813,0.6904,0.6609,0.206,"(1, 9, 13)"
Lasso Regression,1.8727,5.2314,2.2865,0.0691,0.6965,0.6625,0.208,"(1, 9, 13)"
Lasso Least Angle Regression,1.8727,5.2314,2.2865,0.0691,0.6965,0.6625,0.215,"(1, 9, 13)"
Huber Regressor,1.9088,5.7451,2.3952,-0.0204,0.688,0.6088,0.205,"(1, 9, 13)"
Dummy Regressor,1.9818,5.6661,2.3792,-0.0069,0.7201,0.7333,0.209,"(1, 9, 13)"
Passive Aggressive Regressor,2.6101,11.0253,3.283,-0.9792,1.074,1.0209,0.21,"(1, 9, 13)"
