Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Dummy Regressor,2.0281,5.999,2.4448,-0.0043,0.7508,0.7348,0.308,"(2, 4, 9)"
Passive Aggressive Regressor,2.4738,10.1996,3.1431,-0.7427,0.8424,0.9049,0.274,"(2, 4, 9)"
Least Angle Regression,1016062.1643,11430182147591.826,1319304.5255,-2190278674422.6948,6.7803,467710.1608,0.276,"(2, 4, 9)"
Extra Trees Regressor,1.2005,2.6932,1.6387,0.5971,0.5231,0.3745,0.386,"(2, 4, 10)"
Light Gradient Boosting Machine,1.2805,3.0501,1.7435,0.5421,0.5503,0.4227,0.361,"(2, 4, 10)"
Random Forest Regressor,1.3203,3.1812,1.7803,0.5244,0.5571,0.4144,0.615,"(2, 4, 10)"
Gradient Boosting Regressor,1.4119,3.4994,1.8671,0.4768,0.5876,0.4434,0.525,"(2, 4, 10)"
Linear Regression,1.676,4.6429,2.1522,0.302,0.659,0.5702,0.315,"(2, 4, 10)"
Decision Tree Regressor,1.6767,6.612,2.564,0.0035,0.7544,0.6157,0.289,"(2, 4, 10)"
Ridge Regression,1.7727,4.9907,2.2326,0.2516,0.6808,0.5944,0.293,"(2, 4, 10)"
Bayesian Ridge,1.7971,5.0654,2.249,0.2405,0.686,0.6066,0.286,"(2, 4, 10)"
Huber Regressor,1.9195,5.888,2.4205,0.1222,0.7022,0.6215,0.304,"(2, 4, 10)"
AdaBoost Regressor,1.9418,5.2615,2.2922,0.2117,0.7428,0.7214,0.321,"(2, 4, 10)"
Orthogonal Matching Pursuit,1.9786,5.8051,2.4068,0.1313,0.7293,0.6765,0.283,"(2, 4, 10)"
Elastic Net,2.0128,5.9535,2.4373,0.1105,0.7391,0.6878,0.277,"(2, 4, 10)"
Lasso Regression,2.0391,6.0191,2.4508,0.1008,0.7454,0.7005,0.298,"(2, 4, 10)"
Lasso Least Angle Regression,2.0391,6.0191,2.4508,0.1008,0.7454,0.7005,0.287,"(2, 4, 10)"
K Neighbors Regressor,2.1051,6.8667,2.618,-0.03,0.7766,0.7462,0.289,"(2, 4, 10)"
Dummy Regressor,2.1912,6.7451,2.5941,-0.0066,0.784,0.7728,0.295,"(2, 4, 10)"
Passive Aggressive Regressor,3.08,15.9278,3.7379,-1.3621,0.9731,1.3317,0.303,"(2, 4, 10)"
Least Angle Regression,29196.2393,8073189000.0921,41597.9871,-1121564925.7564,5.5613,14578.6314,0.277,"(2, 4, 10)"
Extra Trees Regressor,1.182,2.5947,1.6083,0.6045,0.5171,0.383,0.394,"(2, 4, 12)"
Light Gradient Boosting Machine,1.253,2.9446,1.7139,0.55,0.5391,0.4334,0.339,"(2, 4, 12)"
Random Forest Regressor,1.3025,3.1341,1.7668,0.522,0.5553,0.4264,0.634,"(2, 4, 12)"
Gradient Boosting Regressor,1.3996,3.4762,1.8624,0.4687,0.581,0.4646,0.516,"(2, 4, 12)"
Decision Tree Regressor,1.5856,6.0401,2.451,0.0776,0.707,0.6077,0.287,"(2, 4, 12)"
Linear Regression,1.7176,4.8193,2.192,0.2649,0.6611,0.6287,0.308,"(2, 4, 12)"
Ridge Regression,1.831,5.2424,2.2876,0.2004,0.69,0.6515,0.294,"(2, 4, 12)"
Bayesian Ridge,1.8434,5.2764,2.2948,0.1955,0.6935,0.6537,0.285,"(2, 4, 12)"
Huber Regressor,1.9014,6.1234,2.4708,0.0676,0.6968,0.6125,0.308,"(2, 4, 12)"
Orthogonal Matching Pursuit,1.9635,5.8343,2.4127,0.1112,0.7257,0.6996,0.293,"(2, 4, 12)"
AdaBoost Regressor,1.9914,5.4707,2.3362,0.1647,0.7593,0.8074,0.338,"(2, 4, 12)"
Elastic Net,2.0134,6.0502,2.4572,0.0782,0.7365,0.7252,0.279,"(2, 4, 12)"
Lasso Regression,2.0325,6.1113,2.4695,0.0691,0.7423,0.7327,0.297,"(2, 4, 12)"
Lasso Least Angle Regression,2.0325,6.1113,2.4695,0.0691,0.7423,0.7327,0.32,"(2, 4, 12)"
K Neighbors Regressor,2.1175,7.16,2.6733,-0.0945,0.7796,0.7568,0.277,"(2, 4, 12)"
Dummy Regressor,2.1337,6.6034,2.5673,-0.006,0.7674,0.7821,0.291,"(2, 4, 12)"
Passive Aggressive Regressor,2.2908,8.6948,2.9401,-0.325,0.819,0.78,0.285,"(2, 4, 12)"
Least Angle Regression,2563.2741,65522158.8756,3736.2999,-11291975.8882,3.7309,1464.2783,0.28,"(2, 4, 12)"
Extra Trees Regressor,1.1293,2.3739,1.5338,0.6038,0.5055,0.3832,0.401,"(2, 4, 13)"
Light Gradient Boosting Machine,1.1869,2.5794,1.6017,0.5685,0.5202,0.4233,0.326,"(2, 4, 13)"
Random Forest Regressor,1.2368,2.7685,1.6587,0.5369,0.538,0.4107,0.666,"(2, 4, 13)"
Gradient Boosting Regressor,1.3385,3.1627,1.7723,0.4708,0.5683,0.4566,0.529,"(2, 4, 13)"
Decision Tree Regressor,1.486,5.4622,2.3334,0.0813,0.712,0.5583,0.307,"(2, 4, 13)"
Linear Regression,1.6367,4.3859,2.0887,0.2676,0.6472,0.5913,0.278,"(2, 4, 13)"
Ridge Regression,1.7614,4.9024,2.2095,0.1809,0.6812,0.6212,0.275,"(2, 4, 13)"
Bayesian Ridge,1.7802,4.9646,2.2238,0.1702,0.6856,0.6287,0.297,"(2, 4, 13)"
Huber Regressor,1.8251,5.5805,2.3585,0.0663,0.6798,0.5867,0.298,"(2, 4, 13)"
Orthogonal Matching Pursuit,1.8943,5.4765,2.3375,0.0824,0.7087,0.6758,0.274,"(2, 4, 13)"
AdaBoost Regressor,1.8991,5.02,2.2381,0.1589,0.7395,0.766,0.343,"(2, 4, 13)"
Elastic Net,1.9299,5.5503,2.3535,0.0699,0.7199,0.6899,0.296,"(2, 4, 13)"
Lasso Regression,1.9497,5.617,2.3677,0.0588,0.7259,0.699,0.287,"(2, 4, 13)"
Lasso Least Angle Regression,1.9497,5.617,2.3677,0.0588,0.7259,0.699,0.307,"(2, 4, 13)"
K Neighbors Regressor,2.0006,6.3768,2.5233,-0.071,0.7529,0.7325,0.283,"(2, 4, 13)"
Dummy Regressor,2.0335,6.002,2.4475,-0.0052,0.7456,0.7477,0.292,"(2, 4, 13)"
Passive Aggressive Regressor,2.5957,12.1561,3.2457,-1.067,0.8708,1.0285,0.279,"(2, 4, 13)"
Least Angle Regression,25166.5301,10056732836.6211,32179.5739,-1830023918.4374,3.2555,13009.6835,0.299,"(2, 4, 13)"
Extra Trees Regressor,1.1116,2.3967,1.5459,0.6197,0.503,0.3474,0.393,"(2, 4, 15)"
Light Gradient Boosting Machine,1.1842,2.6956,1.6401,0.5696,0.5175,0.3989,0.368,"(2, 4, 15)"
Random Forest Regressor,1.2405,2.885,1.6977,0.541,0.5412,0.3863,0.64,"(2, 4, 15)"
Gradient Boosting Regressor,1.328,3.2022,1.7875,0.4915,0.5655,0.4205,0.528,"(2, 4, 15)"
Decision Tree Regressor,1.5304,5.8223,2.4086,0.0619,0.73,0.5545,0.29,"(2, 4, 15)"
Linear Regression,1.656,4.5273,2.1253,0.2824,0.6464,0.575,0.258,"(2, 4, 15)"
Ridge Regression,1.7474,4.8344,2.1961,0.2344,0.6675,0.6087,0.288,"(2, 4, 15)"
Bayesian Ridge,1.7598,4.8746,2.2053,0.2275,0.67,0.6132,0.27,"(2, 4, 15)"
Huber Regressor,1.8461,5.5947,2.3603,0.1139,0.6813,0.6023,0.302,"(2, 4, 15)"
AdaBoost Regressor,1.8464,4.927,2.2169,0.2182,0.7266,0.7157,0.335,"(2, 4, 15)"
Orthogonal Matching Pursuit,1.9035,5.457,2.3331,0.1334,0.7075,0.6789,0.308,"(2, 4, 15)"
Elastic Net,1.9371,5.6689,2.3779,0.1024,0.7167,0.6925,0.299,"(2, 4, 15)"
Lasso Regression,1.9605,5.7298,2.3904,0.0937,0.723,0.7038,0.297,"(2, 4, 15)"
Lasso Least Angle Regression,1.9605,5.7298,2.3904,0.0937,0.723,0.7038,0.299,"(2, 4, 15)"
K Neighbors Regressor,2.0754,6.8872,2.6226,-0.0989,0.7638,0.732,0.28,"(2, 4, 15)"
Dummy Regressor,2.0946,6.3934,2.5247,-0.0097,0.7588,0.7597,0.283,"(2, 4, 15)"
Passive Aggressive Regressor,2.3381,8.5373,2.8715,-0.3668,0.8101,0.8702,0.297,"(2, 4, 15)"
Least Angle Regression,98393.6814,100306824929.2631,146839.6875,-15508673580.1666,5.0687,47208.6378,0.317,"(2, 4, 15)"
Extra Trees Regressor,1.1056,2.2233,1.4862,0.6292,0.4919,0.3714,0.375,"(2, 4, 16)"
Light Gradient Boosting Machine,1.1924,2.6548,1.6259,0.5569,0.5172,0.4134,0.348,"(2, 4, 16)"
Random Forest Regressor,1.2435,2.8025,1.669,0.5336,0.5342,0.4093,0.68,"(2, 4, 16)"
Gradient Boosting Regressor,1.326,3.0785,1.7523,0.4848,0.5573,0.4484,0.536,"(2, 4, 16)"
Linear Regression,1.5905,4.0624,2.0131,0.3219,0.6248,0.588,0.276,"(2, 4, 16)"
Decision Tree Regressor,1.6335,6.1037,2.4648,-0.0183,0.7364,0.6392,0.287,"(2, 4, 16)"
Ridge Regression,1.6883,4.4653,2.1117,0.2538,0.6523,0.6115,0.295,"(2, 4, 16)"
Bayesian Ridge,1.7006,4.5123,2.1225,0.2465,0.6544,0.6152,0.278,"(2, 4, 16)"
Huber Regressor,1.7734,5.1027,2.2559,0.1479,0.665,0.5983,0.294,"(2, 4, 16)"
Orthogonal Matching Pursuit,1.8463,5.1941,2.2773,0.1329,0.6919,0.6658,0.279,"(2, 4, 16)"
AdaBoost Regressor,1.8486,4.7621,2.1801,0.2042,0.7199,0.7363,0.341,"(2, 4, 16)"
Elastic Net,1.883,5.2816,2.2964,0.1186,0.7037,0.6769,0.309,"(2, 4, 16)"
Lasso Regression,1.9049,5.3463,2.3102,0.1082,0.71,0.6845,0.277,"(2, 4, 16)"
Lasso Least Angle Regression,1.9049,5.3463,2.3102,0.1082,0.71,0.6845,0.304,"(2, 4, 16)"
K Neighbors Regressor,1.9701,6.1343,2.4727,-0.0234,0.7412,0.7057,0.287,"(2, 4, 16)"
Dummy Regressor,2.0499,6.0296,2.4532,-0.0051,0.7462,0.7512,0.29,"(2, 4, 16)"
Passive Aggressive Regressor,2.7556,11.8997,3.422,-0.9888,0.9633,1.1039,0.292,"(2, 4, 16)"
Least Angle Regression,64.6542,47747.8625,86.3595,-9152.7829,1.8119,31.3412,0.289,"(2, 4, 16)"
Extra Trees Regressor,1.1995,2.7207,1.6457,0.5856,0.522,0.3721,0.394,"(2, 4, 17)"
Light Gradient Boosting Machine,1.2687,2.9527,1.714,0.5514,0.535,0.4167,0.325,"(2, 4, 17)"
Random Forest Regressor,1.35,3.3122,1.8153,0.498,0.5637,0.4153,0.685,"(2, 4, 17)"
Gradient Boosting Regressor,1.4265,3.5734,1.8854,0.4579,0.5823,0.4549,0.505,"(2, 4, 17)"
Linear Regression,1.6791,4.65,2.1538,0.2927,0.6529,0.5724,0.274,"(2, 4, 17)"
Decision Tree Regressor,1.6872,6.5839,2.5613,-0.0031,0.7409,0.6125,0.273,"(2, 4, 17)"
Ridge Regression,1.8407,5.2335,2.2856,0.2045,0.6948,0.6344,0.295,"(2, 4, 17)"
Bayesian Ridge,1.854,5.2935,2.2989,0.1954,0.6969,0.6385,0.281,"(2, 4, 17)"
Huber Regressor,1.9467,6.0224,2.4501,0.0877,0.7071,0.6305,0.281,"(2, 4, 17)"
Orthogonal Matching Pursuit,1.998,5.8859,2.4238,0.1072,0.7279,0.7001,0.282,"(2, 4, 17)"
AdaBoost Regressor,2.0011,5.4628,2.3351,0.1709,0.7553,0.785,0.346,"(2, 4, 17)"
Elastic Net,2.0363,6.0558,2.4584,0.0825,0.7374,0.7173,0.286,"(2, 4, 17)"
Lasso Regression,2.0553,6.1133,2.4702,0.0738,0.7431,0.725,0.3,"(2, 4, 17)"
Lasso Least Angle Regression,2.0553,6.1133,2.4702,0.0738,0.7431,0.725,0.325,"(2, 4, 17)"
K Neighbors Regressor,2.1198,7.0216,2.647,-0.0672,0.7734,0.7469,0.263,"(2, 4, 17)"
Dummy Regressor,2.1632,6.6633,2.5785,-0.0085,0.7726,0.7796,0.32,"(2, 4, 17)"
Passive Aggressive Regressor,2.3689,8.9494,2.9681,-0.3487,0.848,0.805,0.306,"(2, 4, 17)"
Least Angle Regression,37961.7928,21302916581.0245,60665.2049,-3475629831.1553,4.5011,19151.8159,0.281,"(2, 4, 17)"
Extra Trees Regressor,1.1126,2.2826,1.5022,0.5816,0.496,0.3766,0.368,"(2, 5, 6)"
Light Gradient Boosting Machine,1.1685,2.4781,1.5665,0.5442,0.513,0.4101,0.346,"(2, 5, 6)"
Random Forest Regressor,1.224,2.6852,1.6313,0.5067,0.5344,0.4055,0.664,"(2, 5, 6)"
Gradient Boosting Regressor,1.3614,3.2094,1.7852,0.4082,0.5721,0.4591,0.526,"(2, 5, 6)"
Decision Tree Regressor,1.57,5.4914,2.3408,-0.0216,0.7286,0.6134,0.317,"(2, 5, 6)"
Linear Regression,1.6381,4.2617,2.0602,0.2117,0.6432,0.5899,0.305,"(2, 5, 6)"
Ridge Regression,1.7669,4.7292,2.1698,0.1267,0.6745,0.6299,0.281,"(2, 5, 6)"
Bayesian Ridge,1.7848,4.8056,2.1868,0.1133,0.6787,0.6418,0.294,"(2, 5, 6)"
Huber Regressor,1.8169,5.2585,2.2868,0.0308,0.6734,0.6008,0.299,"(2, 5, 6)"
AdaBoost Regressor,1.8266,4.6816,2.1593,0.1341,0.7091,0.7297,0.334,"(2, 5, 6)"
Orthogonal Matching Pursuit,1.8752,5.2613,2.2881,0.0295,0.6993,0.6844,0.291,"(2, 5, 6)"
Elastic Net,1.8782,5.2629,2.2885,0.0292,0.7014,0.6872,0.29,"(2, 5, 6)"
Lasso Regression,1.8844,5.3039,2.2974,0.0216,0.7041,0.6897,0.298,"(2, 5, 6)"
Lasso Least Angle Regression,1.8844,5.3039,2.2974,0.0216,0.7041,0.6897,0.275,"(2, 5, 6)"
K Neighbors Regressor,1.9314,5.9105,2.4278,-0.0954,0.729,0.6988,0.316,"(2, 5, 6)"
Dummy Regressor,1.9336,5.441,2.3286,-0.0061,0.7142,0.7133,0.303,"(2, 5, 6)"
Passive Aggressive Regressor,3.1671,16.2521,3.8145,-1.9564,0.98,1.5315,0.279,"(2, 5, 6)"
Least Angle Regression,6.420561016595797e+127,7.4958046669248e+256,8.657831522341376e+127,-1.4085948235537538e+256,33.992,3.213574582395221e+127,0.286,"(2, 5, 6)"
Extra Trees Regressor,1.2301,2.6737,1.6315,0.5541,0.5267,0.3834,0.383,"(2, 5, 8)"
Light Gradient Boosting Machine,1.3426,3.1655,1.7742,0.4734,0.5549,0.4347,0.347,"(2, 5, 8)"
Random Forest Regressor,1.3662,3.1806,1.7791,0.4718,0.5672,0.4207,0.675,"(2, 5, 8)"
Gradient Boosting Regressor,1.4936,3.6964,1.9185,0.3862,0.5997,0.4704,0.525,"(2, 5, 8)"
Decision Tree Regressor,1.7596,6.7209,2.5877,-0.1263,0.7597,0.6241,0.307,"(2, 5, 8)"
Linear Regression,1.778,4.8912,2.2074,0.1868,0.6732,0.5957,0.291,"(2, 5, 8)"
Ridge Regression,1.8661,5.2297,2.2825,0.1323,0.695,0.6165,0.326,"(2, 5, 8)"
Bayesian Ridge,1.8832,5.2824,2.294,0.1237,0.6992,0.6218,0.251,"(2, 5, 8)"
Huber Regressor,1.9108,5.6999,2.3811,0.0562,0.698,0.5918,0.304,"(2, 5, 8)"
AdaBoost Regressor,1.9296,5.2544,2.2897,0.1243,0.7301,0.7148,0.324,"(2, 5, 8)"
Orthogonal Matching Pursuit,1.944,5.5402,2.35,0.0801,0.713,0.6516,0.276,"(2, 5, 8)"
Elastic Net,1.9739,5.6853,2.3811,0.0555,0.718,0.6706,0.275,"(2, 5, 8)"
Lasso Regression,1.9798,5.7069,2.3857,0.052,0.7197,0.6737,0.277,"(2, 5, 8)"
Lasso Least Angle Regression,1.9798,5.7069,2.3857,0.052,0.7197,0.6737,0.286,"(2, 5, 8)"
Dummy Regressor,2.0384,6.1136,2.4689,-0.0144,0.7381,0.7047,0.292,"(2, 5, 8)"
K Neighbors Regressor,2.0414,6.5551,2.554,-0.0874,0.7405,0.6996,0.302,"(2, 5, 8)"
Passive Aggressive Regressor,3.8071,22.8803,4.4905,-3.0636,1.0621,1.7689,0.298,"(2, 5, 8)"
Least Angle Regression,226914.2049,1121762329093.932,368659.0452,-189150151050.071,4.0748,100371.766,0.321,"(2, 5, 8)"
Extra Trees Regressor,1.1469,2.4882,1.5695,0.5733,0.5026,0.3785,0.381,"(2, 5, 9)"
Light Gradient Boosting Machine,1.233,2.8711,1.6886,0.5049,0.5296,0.4188,0.351,"(2, 5, 9)"
Random Forest Regressor,1.2631,2.9436,1.71,0.4933,0.5437,0.405,0.654,"(2, 5, 9)"
Gradient Boosting Regressor,1.363,3.2684,1.8027,0.4372,0.5677,0.4443,0.501,"(2, 5, 9)"
Decision Tree Regressor,1.5959,5.9294,2.4283,-0.0348,0.7086,0.5958,0.29,"(2, 5, 9)"
Linear Regression,1.6344,4.3798,2.0884,0.2442,0.6366,0.5904,0.298,"(2, 5, 9)"
Ridge Regression,1.7966,4.9648,2.2223,0.1468,0.6831,0.6371,0.28,"(2, 5, 9)"
Bayesian Ridge,1.8261,5.0653,2.2441,0.1303,0.6905,0.6519,0.324,"(2, 5, 9)"
Huber Regressor,1.848,5.5766,2.3524,0.0443,0.6773,0.6034,0.319,"(2, 5, 9)"
Orthogonal Matching Pursuit,1.8951,5.4735,2.3325,0.0602,0.7007,0.6773,0.289,"(2, 5, 9)"
Elastic Net,1.9087,5.4861,2.3351,0.0588,0.7023,0.6934,0.286,"(2, 5, 9)"
AdaBoost Regressor,1.9142,5.1462,2.2653,0.1103,0.7326,0.7786,0.327,"(2, 5, 9)"
Lasso Regression,1.9257,5.5678,2.3523,0.0451,0.7075,0.7032,0.298,"(2, 5, 9)"
Lasso Least Angle Regression,1.9257,5.5678,2.3523,0.0451,0.7075,0.7032,0.297,"(2, 5, 9)"
K Neighbors Regressor,1.959,6.1226,2.4686,-0.0569,0.7295,0.7014,0.314,"(2, 5, 9)"
Dummy Regressor,1.9925,5.8699,2.4162,-0.0078,0.7249,0.734,0.278,"(2, 5, 9)"
Passive Aggressive Regressor,2.2516,8.6498,2.9023,-0.4675,0.801,0.6973,0.31,"(2, 5, 9)"
Least Angle Regression,570.5654,2090932.7884,758.613,-395663.0239,3.6525,259.9213,0.292,"(2, 5, 9)"
Extra Trees Regressor,1.1971,2.5608,1.5953,0.5922,0.5099,0.3728,0.365,"(2, 5, 10)"
Light Gradient Boosting Machine,1.2898,2.9655,1.7186,0.5268,0.5353,0.4177,0.345,"(2, 5, 10)"
Random Forest Regressor,1.3579,3.2062,1.7879,0.4896,0.5571,0.4212,0.636,"(2, 5, 10)"
Gradient Boosting Regressor,1.4445,3.5167,1.8732,0.4394,0.5803,0.4605,0.521,"(2, 5, 10)"
Decision Tree Regressor,1.633,5.9623,2.4362,0.0496,0.7181,0.6004,0.279,"(2, 5, 10)"
Linear Regression,1.6584,4.3798,2.0912,0.3022,0.6369,0.5749,0.285,"(2, 5, 10)"
Bayesian Ridge,1.7722,4.7931,2.1878,0.237,0.6666,0.6002,0.303,"(2, 5, 10)"
Ridge Regression,1.7922,4.8608,2.2032,0.2262,0.6719,0.6107,0.299,"(2, 5, 10)"
AdaBoost Regressor,1.8678,4.9566,2.2254,0.2104,0.7078,0.6803,0.304,"(2, 5, 10)"
Huber Regressor,1.9322,5.6902,2.3834,0.0936,0.6963,0.6387,0.308,"(2, 5, 10)"
Orthogonal Matching Pursuit,2.0254,5.8332,2.4131,0.073,0.7243,0.715,0.301,"(2, 5, 10)"
Elastic Net,2.0624,5.9703,2.4422,0.051,0.7317,0.7441,0.287,"(2, 5, 10)"
Lasso Regression,2.0829,6.0695,2.4625,0.0353,0.7372,0.7579,0.329,"(2, 5, 10)"
Lasso Least Angle Regression,2.0829,6.0695,2.4625,0.0353,0.7372,0.7579,0.297,"(2, 5, 10)"
K Neighbors Regressor,2.0896,6.6863,2.5838,-0.0635,0.7475,0.7436,0.288,"(2, 5, 10)"
Dummy Regressor,2.1238,6.3404,2.517,-0.0076,0.75,0.7732,0.285,"(2, 5, 10)"
Passive Aggressive Regressor,2.8348,12.0765,3.4254,-0.9189,0.9369,1.3626,0.301,"(2, 5, 10)"
Least Angle Regression,583830.6263,4015799104561.664,898155.7656,-618945353490.8416,6.6208,321397.9217,0.311,"(2, 5, 10)"
Extra Trees Regressor,1.1997,2.6575,1.6276,0.5824,0.5181,0.3935,0.388,"(2, 5, 12)"
Light Gradient Boosting Machine,1.3031,3.0548,1.7443,0.5209,0.5458,0.4518,0.34,"(2, 5, 12)"
Random Forest Regressor,1.3705,3.3321,1.8232,0.4782,0.5682,0.4472,0.62,"(2, 5, 12)"
Gradient Boosting Regressor,1.4668,3.71,1.9232,0.4194,0.5907,0.4869,0.531,"(2, 5, 12)"
Decision Tree Regressor,1.6934,6.4669,2.5375,-0.0146,0.7492,0.606,0.302,"(2, 5, 12)"
Linear Regression,1.7823,5.0099,2.2325,0.2212,0.663,0.6461,0.277,"(2, 5, 12)"
Ridge Regression,1.9177,5.5394,2.3474,0.1393,0.7013,0.68,0.267,"(2, 5, 12)"
Huber Regressor,1.932,6.1054,2.4629,0.0535,0.6912,0.6283,0.286,"(2, 5, 12)"
Bayesian Ridge,1.9352,5.5916,2.3587,0.1307,0.7053,0.6912,0.269,"(2, 5, 12)"
Orthogonal Matching Pursuit,1.9911,5.9094,2.4247,0.0809,0.7186,0.7232,0.302,"(2, 5, 12)"
AdaBoost Regressor,2.0073,5.5838,2.3592,0.1293,0.7481,0.8274,0.327,"(2, 5, 12)"
Elastic Net,2.0258,6.0734,2.4578,0.0572,0.7247,0.7458,0.289,"(2, 5, 12)"
Lasso Regression,2.044,6.1591,2.4753,0.044,0.7297,0.7539,0.276,"(2, 5, 12)"
Lasso Least Angle Regression,2.044,6.1591,2.4753,0.044,0.7297,0.7539,0.314,"(2, 5, 12)"
K Neighbors Regressor,2.0572,6.7997,2.6001,-0.0601,0.7464,0.7295,0.306,"(2, 5, 12)"
Dummy Regressor,2.0893,6.4494,2.5349,-0.0034,0.7425,0.77,0.267,"(2, 5, 12)"
Passive Aggressive Regressor,3.7792,24.3516,4.5405,-2.6788,1.0277,1.7161,0.293,"(2, 5, 12)"
Least Angle Regression,23084058257.987,9.111217714163665e+21,30184806022.4569,-1.466938348943258e+21,6.2315,11460203493.7709,0.293,"(2, 5, 12)"
Extra Trees Regressor,1.1192,2.2544,1.4965,0.6171,0.4937,0.3754,0.392,"(2, 5, 13)"
Light Gradient Boosting Machine,1.2234,2.6129,1.6131,0.5558,0.5161,0.4293,0.329,"(2, 5, 13)"
Random Forest Regressor,1.2545,2.7423,1.6513,0.5341,0.535,0.4138,0.645,"(2, 5, 13)"
Gradient Boosting Regressor,1.3571,3.1112,1.7604,0.4703,0.5598,0.4699,0.517,"(2, 5, 13)"
Decision Tree Regressor,1.6468,5.9301,2.4279,-0.0131,0.7164,0.6272,0.285,"(2, 5, 13)"
Linear Regression,1.6799,4.4921,2.1169,0.2352,0.6494,0.6027,0.299,"(2, 5, 13)"
Ridge Regression,1.7875,4.8901,2.2094,0.1659,0.6769,0.6451,0.305,"(2, 5, 13)"
Bayesian Ridge,1.8032,4.9372,2.2196,0.1584,0.6804,0.654,0.315,"(2, 5, 13)"
AdaBoost Regressor,1.8596,4.8184,2.1935,0.1771,0.7098,0.7568,0.311,"(2, 5, 13)"
Huber Regressor,1.8776,5.6216,2.369,0.0401,0.6827,0.6318,0.274,"(2, 5, 13)"
Orthogonal Matching Pursuit,1.9184,5.4912,2.3412,0.0635,0.7001,0.7098,0.303,"(2, 5, 13)"
Elastic Net,1.9408,5.5578,2.3553,0.0527,0.7074,0.7224,0.292,"(2, 5, 13)"
Lasso Regression,1.9575,5.6422,2.373,0.0387,0.7122,0.7306,0.267,"(2, 5, 13)"
Lasso Least Angle Regression,1.9575,5.6422,2.373,0.0387,0.7122,0.7306,0.276,"(2, 5, 13)"
K Neighbors Regressor,1.9926,6.2322,2.4944,-0.0668,0.7319,0.7334,0.305,"(2, 5, 13)"
Dummy Regressor,2.0043,5.8945,2.4254,-0.0039,0.725,0.7453,0.301,"(2, 5, 13)"
Passive Aggressive Regressor,3.0886,14.7671,3.7755,-1.4898,0.9681,1.4113,0.308,"(2, 5, 13)"
Least Angle Regression,1916.162,74275167.1457,2770.6426,-13428724.9282,2.6991,980.1681,0.284,"(2, 5, 13)"
Extra Trees Regressor,1.1289,2.4023,1.5458,0.5985,0.5097,0.3543,0.391,"(2, 5, 15)"
Light Gradient Boosting Machine,1.2342,2.7608,1.658,0.5378,0.5382,0.4029,0.346,"(2, 5, 15)"
Random Forest Regressor,1.2487,2.823,1.6766,0.5289,0.5429,0.3867,0.628,"(2, 5, 15)"
Gradient Boosting Regressor,1.3502,3.2659,1.8027,0.4549,0.5709,0.4292,0.506,"(2, 5, 15)"
Decision Tree Regressor,1.555,5.4211,2.3204,0.0859,0.7064,0.5758,0.278,"(2, 5, 15)"
Linear Regression,1.6686,4.5728,2.1342,0.2382,0.6444,0.5811,0.296,"(2, 5, 15)"
Ridge Regression,1.7956,5.0591,2.2442,0.1587,0.6747,0.6243,0.29,"(2, 5, 15)"
Bayesian Ridge,1.8198,5.1071,2.2551,0.1505,0.6804,0.6415,0.291,"(2, 5, 15)"
AdaBoost Regressor,1.8401,4.8933,2.2087,0.1837,0.7057,0.7266,0.318,"(2, 5, 15)"
Huber Regressor,1.8594,5.516,2.3441,0.0819,0.6734,0.6243,0.304,"(2, 5, 15)"
Orthogonal Matching Pursuit,1.8857,5.4016,2.3194,0.1015,0.691,0.6821,0.319,"(2, 5, 15)"
Elastic Net,1.9269,5.5845,2.3585,0.0704,0.6994,0.7116,0.301,"(2, 5, 15)"
Lasso Regression,1.9378,5.6362,2.3696,0.0616,0.7024,0.7185,0.273,"(2, 5, 15)"
Lasso Least Angle Regression,1.9378,5.6362,2.3696,0.0616,0.7024,0.7185,0.292,"(2, 5, 15)"
K Neighbors Regressor,1.9932,6.4976,2.542,-0.0812,0.7383,0.6916,0.311,"(2, 5, 15)"
Dummy Regressor,1.9992,6.0183,2.4504,-0.0036,0.7201,0.7411,0.279,"(2, 5, 15)"
Passive Aggressive Regressor,2.7467,13.8419,3.3398,-1.2954,0.8815,1.1477,0.304,"(2, 5, 15)"
Least Angle Regression,3668.6948,310543957.322,6641.1644,-47502053.9525,4.8393,1654.9168,0.281,"(2, 5, 15)"
Extra Trees Regressor,1.1414,2.3538,1.5266,0.6079,0.5022,0.3774,0.388,"(2, 5, 16)"
Light Gradient Boosting Machine,1.2201,2.6585,1.6195,0.5579,0.5277,0.4172,0.374,"(2, 5, 16)"
Random Forest Regressor,1.2831,2.9009,1.6962,0.516,0.5446,0.4197,0.672,"(2, 5, 16)"
Gradient Boosting Regressor,1.4028,3.4194,1.8422,0.4282,0.5775,0.4664,0.499,"(2, 5, 16)"
Decision Tree Regressor,1.6652,6.0996,2.4606,-0.0185,0.7396,0.6206,0.308,"(2, 5, 16)"
Linear Regression,1.6894,4.4834,2.1131,0.2485,0.6462,0.6083,0.253,"(2, 5, 16)"
Ridge Regression,1.7905,4.8853,2.2065,0.1809,0.6726,0.637,0.278,"(2, 5, 16)"
Bayesian Ridge,1.81,4.9562,2.2228,0.1688,0.6758,0.6478,0.296,"(2, 5, 16)"
Huber Regressor,1.8507,5.416,2.3239,0.0915,0.6739,0.6182,0.315,"(2, 5, 16)"
