Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),test_set
Extra Trees Regressor,1.5773,4.2319,2.0392,0.3526,0.5386,0.4139,0.154,"(2, 13, 15)"
Random Forest Regressor,1.7162,4.7528,2.1649,0.2735,0.5632,0.4664,0.211,"(2, 13, 15)"
Gradient Boosting Regressor,1.7549,4.9799,2.2149,0.2438,0.5685,0.4701,0.166,"(2, 13, 15)"
Light Gradient Boosting Machine,1.7664,5.2462,2.2622,0.2026,0.5781,0.462,0.112,"(2, 13, 15)"
AdaBoost Regressor,1.8558,5.433,2.3114,0.178,0.5919,0.5115,0.132,"(2, 13, 15)"
Linear Regression,1.8968,5.6821,2.3717,0.1024,0.5867,0.5405,0.097,"(2, 13, 15)"
Ridge Regression,1.9497,5.9974,2.4317,0.0832,0.6165,0.5336,0.099,"(2, 13, 15)"
Huber Regressor,2.0085,6.4068,2.5139,0.0136,0.6334,0.5776,0.102,"(2, 13, 15)"
Orthogonal Matching Pursuit,2.0778,6.5019,2.538,-0.0004,0.6396,0.6087,0.098,"(2, 13, 15)"
Bayesian Ridge,2.0829,6.67,2.5672,-0.0152,0.6417,0.5906,0.099,"(2, 13, 15)"
Decision Tree Regressor,2.1172,8.6828,2.9066,-0.4006,0.729,0.5944,0.107,"(2, 13, 15)"
Lasso Regression,2.13,6.7273,2.5807,-0.0268,0.6439,0.6241,0.099,"(2, 13, 15)"
Lasso Least Angle Regression,2.13,6.7273,2.5807,-0.0268,0.6439,0.6241,0.099,"(2, 13, 15)"
Elastic Net,2.1343,6.7653,2.5885,-0.0343,0.6448,0.6255,0.098,"(2, 13, 15)"
Dummy Regressor,2.1835,6.9784,2.6223,-0.0495,0.6514,0.6573,0.1,"(2, 13, 15)"
K Neighbors Regressor,2.2807,7.7996,2.7658,-0.1788,0.6804,0.6444,0.103,"(2, 13, 15)"
Passive Aggressive Regressor,3.535,18.3847,4.1848,-1.8157,1.1163,0.7924,0.097,"(2, 13, 15)"
Least Angle Regression,202172.8297,678844130099.0593,273726.9427,-109440575899.4526,5.6076,86879.086,0.1,"(2, 13, 15)"
Extra Trees Regressor,1.5933,4.0328,1.9931,0.3482,0.5138,0.478,0.16,"(2, 13, 16)"
Light Gradient Boosting Machine,1.637,4.101,2.0142,0.3399,0.5228,0.4908,0.112,"(2, 13, 16)"
Gradient Boosting Regressor,1.6683,4.3979,2.0805,0.2849,0.5404,0.51,0.176,"(2, 13, 16)"
Random Forest Regressor,1.6885,4.4653,2.097,0.2852,0.5398,0.5079,0.224,"(2, 13, 16)"
AdaBoost Regressor,1.849,5.1117,2.2454,0.1857,0.572,0.5375,0.141,"(2, 13, 16)"
Linear Regression,1.9009,5.55,2.3438,0.1105,0.582,0.5593,0.101,"(2, 13, 16)"
Ridge Regression,1.9162,5.4967,2.3329,0.1078,0.5988,0.5651,0.1,"(2, 13, 16)"
Huber Regressor,1.9352,5.6351,2.3582,0.1001,0.6048,0.572,0.104,"(2, 13, 16)"
Bayesian Ridge,1.9414,5.6166,2.3534,0.1065,0.6058,0.577,0.099,"(2, 13, 16)"
Orthogonal Matching Pursuit,1.9968,5.9032,2.4079,0.0718,0.6188,0.5983,0.102,"(2, 13, 16)"
Elastic Net,2.0273,6.0497,2.4405,0.048,0.6203,0.6038,0.1,"(2, 13, 16)"
Lasso Regression,2.0301,6.0519,2.4407,0.0485,0.6206,0.6059,0.1,"(2, 13, 16)"
Lasso Least Angle Regression,2.0301,6.0519,2.4407,0.0485,0.6206,0.6059,0.103,"(2, 13, 16)"
Dummy Regressor,2.1139,6.4996,2.5294,-0.02,0.6304,0.6356,0.104,"(2, 13, 16)"
K Neighbors Regressor,2.1272,6.8738,2.6,-0.0807,0.6376,0.5946,0.1,"(2, 13, 16)"
Decision Tree Regressor,2.2692,9.5105,3.062,-0.5972,0.7471,0.7016,0.103,"(2, 13, 16)"
Passive Aggressive Regressor,3.6351,20.1612,4.2753,-2.3113,0.8944,1.0954,0.102,"(2, 13, 16)"
Least Angle Regression,125812.4824,163524586125.2873,170997.1318,-19959696615.7003,4.9615,41932.6926,0.107,"(2, 13, 16)"
Extra Trees Regressor,1.7595,4.8706,2.1991,0.3018,0.5766,0.5052,0.161,"(2, 13, 17)"
Gradient Boosting Regressor,1.8867,5.4839,2.3309,0.2132,0.6005,0.5384,0.176,"(2, 13, 17)"
Light Gradient Boosting Machine,1.9048,5.64,2.3666,0.1773,0.6141,0.5453,0.113,"(2, 13, 17)"
Random Forest Regressor,1.9294,5.6587,2.3655,0.1904,0.6156,0.5551,0.237,"(2, 13, 17)"
Linear Regression,2.0225,6.4023,2.5215,0.0675,0.621,0.556,0.104,"(2, 13, 17)"
Huber Regressor,2.1135,6.8792,2.6096,0.0159,0.6552,0.6296,0.106,"(2, 13, 17)"
AdaBoost Regressor,2.1155,6.3986,2.5137,0.0896,0.6388,0.5857,0.139,"(2, 13, 17)"
Ridge Regression,2.1216,6.7821,2.5901,0.0316,0.653,0.6183,0.104,"(2, 13, 17)"
Orthogonal Matching Pursuit,2.1726,6.9187,2.6174,0.0146,0.6615,0.6512,0.101,"(2, 13, 17)"
Bayesian Ridge,2.2046,7.025,2.6364,0.0034,0.6631,0.6631,0.106,"(2, 13, 17)"
Elastic Net,2.2066,7.0303,2.6372,0.003,0.6627,0.6645,0.104,"(2, 13, 17)"
Lasso Regression,2.2195,7.082,2.6474,-0.004,0.6653,0.6702,0.102,"(2, 13, 17)"
Lasso Least Angle Regression,2.2195,7.082,2.6474,-0.004,0.6653,0.6702,0.103,"(2, 13, 17)"
Dummy Regressor,2.2736,7.423,2.7102,-0.0487,0.6816,0.6834,0.106,"(2, 13, 17)"
Decision Tree Regressor,2.2856,9.7256,3.0791,-0.4367,0.7492,0.6428,0.104,"(2, 13, 17)"
K Neighbors Regressor,2.3313,8.3119,2.8659,-0.1853,0.7064,0.6849,0.101,"(2, 13, 17)"
Passive Aggressive Regressor,3.1108,15.0539,3.8006,-1.178,0.8308,0.9847,0.107,"(2, 13, 17)"
Least Angle Regression,4.867087340978166e+193,inf,inf,-inf,49.5269,1.2865336228567082e+193,0.107,"(2, 13, 17)"
Extra Trees Regressor,1.6019,4.2767,2.0568,0.3049,0.5238,0.4053,0.156,"(2, 15, 16)"
Random Forest Regressor,1.6697,4.5753,2.129,0.2564,0.5399,0.4261,0.225,"(2, 15, 16)"
Light Gradient Boosting Machine,1.6961,4.8733,2.1963,0.2075,0.5397,0.4309,0.117,"(2, 15, 16)"
Gradient Boosting Regressor,1.7202,4.9586,2.2184,0.1949,0.5503,0.4302,0.169,"(2, 15, 16)"
Linear Regression,1.7257,5.23,2.2751,0.1334,0.5578,0.45,0.107,"(2, 15, 16)"
AdaBoost Regressor,1.7772,5.0885,2.2461,0.1726,0.552,0.4603,0.141,"(2, 15, 16)"
Ridge Regression,1.8113,5.3091,2.2945,0.1278,0.5689,0.469,0.112,"(2, 15, 16)"
Bayesian Ridge,1.9253,5.7973,2.3959,0.0551,0.5861,0.5136,0.107,"(2, 15, 16)"
Huber Regressor,1.9482,5.9852,2.4376,0.0172,0.5972,0.5377,0.109,"(2, 15, 16)"
Orthogonal Matching Pursuit,1.9642,5.9549,2.4291,0.0337,0.5939,0.5351,0.109,"(2, 15, 16)"
Elastic Net,1.994,6.1322,2.4645,0.0041,0.5983,0.5497,0.108,"(2, 15, 16)"
Lasso Regression,1.9986,6.1527,2.4699,0.0001,0.5992,0.5533,0.107,"(2, 15, 16)"
Lasso Least Angle Regression,1.9986,6.1527,2.4699,0.0001,0.5992,0.5533,0.108,"(2, 15, 16)"
Decision Tree Regressor,2.018,7.8273,2.7892,-0.2962,0.6702,0.5046,0.107,"(2, 15, 16)"
Dummy Regressor,2.0663,6.4268,2.5295,-0.0489,0.6057,0.5913,0.108,"(2, 15, 16)"
K Neighbors Regressor,2.1539,7.2247,2.6747,-0.1696,0.6282,0.5967,0.105,"(2, 15, 16)"
Passive Aggressive Regressor,3.7112,23.6605,4.4953,-3.2913,0.8222,1.0049,0.108,"(2, 15, 16)"
Least Angle Regression,5448370.808,421086385104743.9,6617557.2828,-83043363350117.58,5.6975,1297918.5124,0.108,"(2, 15, 16)"
Extra Trees Regressor,1.772,5.1204,2.2461,0.2536,0.5478,0.414,0.163,"(2, 15, 17)"
Random Forest Regressor,1.8306,5.3749,2.2962,0.2198,0.5567,0.4346,0.225,"(2, 15, 17)"
Light Gradient Boosting Machine,1.8598,5.6576,2.3585,0.1634,0.5581,0.4269,0.12,"(2, 15, 17)"
Gradient Boosting Regressor,1.9231,6.1252,2.4502,0.098,0.5758,0.4515,0.175,"(2, 15, 17)"
AdaBoost Regressor,2.0157,6.2167,2.4816,0.0838,0.5873,0.4885,0.144,"(2, 15, 17)"
Ridge Regression,2.0794,6.6633,2.5594,0.0283,0.5992,0.5173,0.113,"(2, 15, 17)"
Huber Regressor,2.117,6.9217,2.6102,-0.0055,0.6086,0.538,0.112,"(2, 15, 17)"
Linear Regression,2.1369,6.9925,2.6174,-0.017,0.5871,0.5345,0.108,"(2, 15, 17)"
Orthogonal Matching Pursuit,2.2033,7.2549,2.6777,-0.0588,0.6224,0.5708,0.111,"(2, 15, 17)"
Elastic Net,2.2036,7.2979,2.6868,-0.0673,0.625,0.5674,0.111,"(2, 15, 17)"
Lasso Regression,2.2103,7.3065,2.689,-0.0687,0.6254,0.5686,0.111,"(2, 15, 17)"
Lasso Least Angle Regression,2.2103,7.3065,2.689,-0.0687,0.6254,0.5686,0.109,"(2, 15, 17)"
Dummy Regressor,2.2109,7.3052,2.6904,-0.0682,0.6244,0.5732,0.111,"(2, 15, 17)"
Bayesian Ridge,2.228,7.3827,2.7042,-0.0813,0.6279,0.5768,0.11,"(2, 15, 17)"
K Neighbors Regressor,2.2829,8.2316,2.8576,-0.2171,0.6524,0.571,0.11,"(2, 15, 17)"
Decision Tree Regressor,2.4329,10.5014,3.2041,-0.5496,0.7316,0.6025,0.112,"(2, 15, 17)"
Passive Aggressive Regressor,4.1464,34.5801,4.99,-3.6943,0.84,1.0419,0.11,"(2, 15, 17)"
Least Angle Regression,1499403167.876,3.859790810207641e+19,1974848667.1309,-4.726923035941304e+18,8.25,456356161.6609,0.112,"(2, 15, 17)"
Extra Trees Regressor,1.751,4.9008,2.2086,0.2763,0.5503,0.4693,0.165,"(2, 16, 17)"
Random Forest Regressor,1.8447,5.2028,2.2756,0.2365,0.5669,0.492,0.237,"(2, 16, 17)"
Gradient Boosting Regressor,1.8556,5.3155,2.2998,0.2118,0.5608,0.4902,0.177,"(2, 16, 17)"
Light Gradient Boosting Machine,1.8686,5.5187,2.3444,0.1849,0.577,0.5126,0.127,"(2, 16, 17)"
Linear Regression,1.9718,6.381,2.5153,0.0322,0.5909,0.5244,0.11,"(2, 16, 17)"
Ridge Regression,1.9847,6.1894,2.4757,0.0773,0.604,0.5099,0.11,"(2, 16, 17)"
AdaBoost Regressor,1.9906,5.9173,2.4297,0.1247,0.5952,0.53,0.144,"(2, 16, 17)"
Huber Regressor,2.0491,6.4267,2.5278,0.0391,0.6177,0.5527,0.115,"(2, 16, 17)"
Bayesian Ridge,2.0547,6.3423,2.5123,0.0578,0.6166,0.5504,0.112,"(2, 16, 17)"
Orthogonal Matching Pursuit,2.1567,6.8445,2.6119,-0.0216,0.6365,0.5984,0.112,"(2, 16, 17)"
Lasso Regression,2.1885,7.0008,2.6408,-0.0229,0.6426,0.61,0.109,"(2, 16, 17)"
Lasso Least Angle Regression,2.1885,7.0008,2.6408,-0.0229,0.6426,0.61,0.112,"(2, 16, 17)"
Elastic Net,2.1893,6.9972,2.6408,-0.0266,0.6422,0.6082,0.109,"(2, 16, 17)"
Dummy Regressor,2.2187,7.2835,2.6864,-0.0388,0.6504,0.6319,0.113,"(2, 16, 17)"
Decision Tree Regressor,2.2248,9.1407,2.9871,-0.3056,0.7008,0.6066,0.116,"(2, 16, 17)"
K Neighbors Regressor,2.2843,7.6361,2.7496,-0.1026,0.6591,0.6308,0.118,"(2, 16, 17)"
Passive Aggressive Regressor,3.9002,25.5416,4.9129,-2.7219,0.8809,1.2877,0.111,"(2, 16, 17)"
Least Angle Regression,12019067.5134,2350187993045086.5,15334707.648,-331715024804556.5,5.4652,3468265.5822,0.113,"(2, 16, 17)"
Extra Trees Regressor,1.6791,4.4304,2.0938,0.286,0.5482,0.5102,0.182,"(3, 4, 6)"
Light Gradient Boosting Machine,1.772,4.9097,2.2119,0.1959,0.5686,0.5387,0.138,"(3, 4, 6)"
Random Forest Regressor,1.7817,4.8969,2.2045,0.2105,0.5741,0.5381,0.283,"(3, 4, 6)"
Linear Regression,1.8425,5.5182,2.3373,0.0963,0.5906,0.5312,0.113,"(3, 4, 6)"
Gradient Boosting Regressor,1.8515,5.4192,2.3149,0.1285,0.5868,0.5486,0.192,"(3, 4, 6)"
Ridge Regression,1.8822,5.5799,2.3605,0.0836,0.607,0.5504,0.116,"(3, 4, 6)"
Bayesian Ridge,1.9435,5.7378,2.3909,0.0689,0.6179,0.5796,0.113,"(3, 4, 6)"
AdaBoost Regressor,1.948,5.6219,2.3642,0.0928,0.6102,0.5885,0.149,"(3, 4, 6)"
Huber Regressor,1.9841,5.9091,2.427,0.037,0.6207,0.5839,0.118,"(3, 4, 6)"
Orthogonal Matching Pursuit,2.0168,6.077,2.4569,0.0219,0.6314,0.6159,0.112,"(3, 4, 6)"
Elastic Net,2.0664,6.3527,2.5147,-0.0261,0.6433,0.6352,0.116,"(3, 4, 6)"
Lasso Regression,2.0669,6.3635,2.5164,-0.0267,0.6441,0.6375,0.115,"(3, 4, 6)"
Lasso Least Angle Regression,2.0669,6.3635,2.5164,-0.0267,0.6441,0.6375,0.128,"(3, 4, 6)"
Dummy Regressor,2.0669,6.3743,2.517,-0.0256,0.6449,0.6418,0.114,"(3, 4, 6)"
K Neighbors Regressor,2.1336,6.847,2.6109,-0.1145,0.656,0.6393,0.117,"(3, 4, 6)"
Decision Tree Regressor,2.1887,8.5538,2.8885,-0.3886,0.712,0.6306,0.116,"(3, 4, 6)"
Passive Aggressive Regressor,3.3442,19.8719,4.0863,-2.656,0.8624,0.9894,0.116,"(3, 4, 6)"
Least Angle Regression,17412.4449,4870523370.4001,23277.3341,-684048884.8577,4.3132,7072.9031,0.116,"(3, 4, 6)"
Extra Trees Regressor,1.6952,4.5446,2.1071,0.2853,0.5474,0.4323,0.177,"(3, 4, 9)"
Random Forest Regressor,1.7912,5.011,2.2174,0.2142,0.571,0.4603,0.252,"(3, 4, 9)"
Linear Regression,1.8093,5.3484,2.3057,0.1369,0.5708,0.4904,0.117,"(3, 4, 9)"
Light Gradient Boosting Machine,1.8209,5.3375,2.2874,0.1631,0.5819,0.4684,0.134,"(3, 4, 9)"
Gradient Boosting Regressor,1.8789,5.672,2.3621,0.1069,0.5959,0.4799,0.188,"(3, 4, 9)"
AdaBoost Regressor,1.9636,5.8298,2.3933,0.0831,0.6023,0.4986,0.153,"(3, 4, 9)"
Ridge Regression,1.997,6.0676,2.4447,0.0335,0.6116,0.5395,0.118,"(3, 4, 9)"
Orthogonal Matching Pursuit,2.032,6.1875,2.467,0.0254,0.6225,0.5511,0.117,"(3, 4, 9)"
Huber Regressor,2.0533,6.3928,2.51,-0.0129,0.6246,0.5414,0.128,"(3, 4, 9)"
Elastic Net,2.0814,6.4654,2.5296,-0.0197,0.6387,0.5699,0.12,"(3, 4, 9)"
Lasso Regression,2.0853,6.4814,2.5328,-0.0218,0.6404,0.5717,0.116,"(3, 4, 9)"
Lasso Least Angle Regression,2.0853,6.4814,2.5328,-0.0218,0.6404,0.5717,0.119,"(3, 4, 9)"
Dummy Regressor,2.0893,6.5645,2.5495,-0.0339,0.6474,0.5728,0.119,"(3, 4, 9)"
Bayesian Ridge,2.0928,6.5688,2.5505,-0.0384,0.6435,0.5721,0.12,"(3, 4, 9)"
Decision Tree Regressor,2.1649,8.2301,2.8306,-0.3133,0.722,0.5816,0.119,"(3, 4, 9)"
K Neighbors Regressor,2.255,7.6992,2.7618,-0.2317,0.6771,0.6032,0.116,"(3, 4, 9)"
Passive Aggressive Regressor,3.0206,15.2016,3.7527,-1.4906,0.8322,0.8489,0.124,"(3, 4, 9)"
Least Angle Regression,25319471.8196,5561369543143300.0,32451211.2096,-972605877293775.5,8.6997,8691600.6944,0.118,"(3, 4, 9)"
Extra Trees Regressor,1.9445,5.8325,2.4058,0.2151,0.6208,0.5398,0.179,"(3, 4, 12)"
Light Gradient Boosting Machine,1.9727,6.3501,2.5056,0.1419,0.631,0.5696,0.14,"(3, 4, 12)"
Random Forest Regressor,2.0313,6.2307,2.4829,0.1659,0.6427,0.566,0.256,"(3, 4, 12)"
Gradient Boosting Regressor,2.1036,6.8078,2.5918,0.0885,0.653,0.5938,0.187,"(3, 4, 12)"
Linear Regression,2.15,7.4338,2.7215,-0.0195,0.6691,0.5829,0.12,"(3, 4, 12)"
Ridge Regression,2.2044,7.2359,2.6784,0.0277,0.6756,0.6109,0.126,"(3, 4, 12)"
AdaBoost Regressor,2.2662,7.4747,2.7214,0.0026,0.6904,0.6442,0.156,"(3, 4, 12)"
Huber Regressor,2.2933,7.6351,2.7493,-0.0216,0.6937,0.637,0.122,"(3, 4, 12)"
Orthogonal Matching Pursuit,2.3081,7.5488,2.7358,-0.0114,0.7011,0.6534,0.119,"(3, 4, 12)"
Elastic Net,2.3314,7.661,2.7576,-0.025,0.7043,0.6759,0.121,"(3, 4, 12)"
Lasso Regression,2.3361,7.6789,2.7612,-0.0272,0.7052,0.6782,0.125,"(3, 4, 12)"
Lasso Least Angle Regression,2.3361,7.6789,2.7612,-0.0272,0.7052,0.6782,0.119,"(3, 4, 12)"
Bayesian Ridge,2.3458,7.7185,2.7689,-0.0337,0.7058,0.6723,0.121,"(3, 4, 12)"
Dummy Regressor,2.3648,7.827,2.7884,-0.0463,0.71,0.6941,0.12,"(3, 4, 12)"
K Neighbors Regressor,2.3827,8.4379,2.8975,-0.134,0.7226,0.662,0.121,"(3, 4, 12)"
Decision Tree Regressor,2.7761,13.4471,3.6368,-0.8404,0.9008,0.7838,0.124,"(3, 4, 12)"
Passive Aggressive Regressor,3.7951,24.6276,4.561,-2.8319,0.9081,0.9914,0.121,"(3, 4, 12)"
Least Angle Regression,4583330.0104,193815314799765.06,6351187.5141,-28988416819729.082,7.866,1401973.2097,0.125,"(3, 4, 12)"
Extra Trees Regressor,1.7147,4.6685,2.1466,0.2434,0.5734,0.4925,0.185,"(3, 4, 13)"
Random Forest Regressor,1.8173,5.1297,2.2527,0.1679,0.6,0.5254,0.266,"(3, 4, 13)"
Gradient Boosting Regressor,1.8274,5.3714,2.303,0.1262,0.593,0.5225,0.195,"(3, 4, 13)"
Light Gradient Boosting Machine,1.832,5.3436,2.2961,0.1351,0.5956,0.5219,0.141,"(3, 4, 13)"
Huber Regressor,1.9993,6.1449,2.4712,-0.0061,0.6458,0.5639,0.127,"(3, 4, 13)"
Ridge Regression,2.0006,6.1771,2.4805,-0.0181,0.6443,0.5691,0.123,"(3, 4, 13)"
AdaBoost Regressor,2.0053,5.9744,2.4337,0.0276,0.6274,0.5621,0.158,"(3, 4, 13)"
Orthogonal Matching Pursuit,2.0143,6.1409,2.4696,-0.0014,0.6516,0.5911,0.125,"(3, 4, 13)"
Linear Regression,2.0263,6.5217,2.5462,-0.0744,0.6466,0.595,0.122,"(3, 4, 13)"
Dummy Regressor,2.0303,6.2998,2.4995,-0.0226,0.6567,0.6076,0.127,"(3, 4, 13)"
Lasso Least Angle Regression,2.0407,6.2448,2.491,-0.0188,0.6541,0.6059,0.123,"(3, 4, 13)"
Lasso Regression,2.0407,6.2448,2.491,-0.0188,0.6541,0.6059,0.123,"(3, 4, 13)"
Bayesian Ridge,2.0422,6.2889,2.4985,-0.0239,0.6548,0.6037,0.127,"(3, 4, 13)"
Elastic Net,2.0435,6.2422,2.4909,-0.0197,0.6532,0.6055,0.118,"(3, 4, 13)"
K Neighbors Regressor,2.1636,6.9639,2.6318,-0.1476,0.6738,0.6167,0.123,"(3, 4, 13)"
Decision Tree Regressor,2.3594,10.0631,3.1502,-0.6515,0.8277,0.7175,0.126,"(3, 4, 13)"
Passive Aggressive Regressor,3.577,22.2484,4.4613,-2.6496,0.8837,1.2444,0.128,"(3, 4, 13)"
Least Angle Regression,29338655.6518,1.3509717047596532e+16,37739686.5155,-1552319410787276.5,6.2193,9783851.2594,0.133,"(3, 4, 13)"
Extra Trees Regressor,1.8285,5.5657,2.3347,0.148,0.5865,0.4405,0.181,"(3, 4, 15)"
Ridge Regression,1.8819,5.8644,2.3936,0.1051,0.6023,0.4523,0.128,"(3, 4, 15)"
Light Gradient Boosting Machine,1.9076,5.8503,2.4015,0.0975,0.5969,0.4611,0.141,"(3, 4, 15)"
Random Forest Regressor,1.9181,6.0977,2.4518,0.0583,0.6092,0.4662,0.26,"(3, 4, 15)"
Huber Regressor,1.9413,6.0005,2.4248,0.0776,0.6049,0.4745,0.129,"(3, 4, 15)"
Orthogonal Matching Pursuit,1.9454,6.0361,2.431,0.0827,0.6153,0.4882,0.125,"(3, 4, 15)"
Linear Regression,1.9601,6.2586,2.4813,0.0372,0.6012,0.4918,0.126,"(3, 4, 15)"
Bayesian Ridge,1.9778,6.2174,2.4752,0.0493,0.6197,0.4936,0.129,"(3, 4, 15)"
Gradient Boosting Regressor,1.9894,6.4952,2.5284,-0.0017,0.6176,0.5003,0.193,"(3, 4, 15)"
AdaBoost Regressor,2.0014,6.1791,2.4685,0.0582,0.612,0.5057,0.161,"(3, 4, 15)"
Elastic Net,2.0028,6.322,2.4942,0.0394,0.6277,0.511,0.125,"(3, 4, 15)"
Lasso Regression,2.0177,6.4052,2.5101,0.0274,0.6315,0.5176,0.126,"(3, 4, 15)"
Lasso Least Angle Regression,2.0177,6.4052,2.5101,0.0274,0.6315,0.5176,0.127,"(3, 4, 15)"
Dummy Regressor,2.0908,6.7455,2.5786,-0.0216,0.6403,0.5551,0.128,"(3, 4, 15)"
K Neighbors Regressor,2.2611,8.0278,2.8118,-0.2299,0.6748,0.5966,0.128,"(3, 4, 15)"
Decision Tree Regressor,2.6091,12.1621,3.4413,-0.8585,0.8301,0.6365,0.125,"(3, 4, 15)"
Passive Aggressive Regressor,3.5018,19.1949,4.2374,-2.0154,0.9982,0.9326,0.124,"(3, 4, 15)"
Least Angle Regression,3335903.199,160775309928505.7,4407310.1943,-21586611424800.42,8.9246,858044.7336,0.129,"(3, 4, 15)"
Extra Trees Regressor,1.6605,4.5907,2.1368,0.2875,0.5705,0.4399,0.187,"(3, 4, 16)"
Light Gradient Boosting Machine,1.7606,5.1014,2.2518,0.2051,0.5937,0.4424,0.149,"(3, 4, 16)"
Random Forest Regressor,1.7693,4.9863,2.2284,0.2249,0.5931,0.4696,0.279,"(3, 4, 16)"
Gradient Boosting Regressor,1.8191,5.3769,2.3133,0.1643,0.596,0.485,0.2,"(3, 4, 16)"
Ridge Regression,1.832,5.5196,2.3416,0.1487,0.619,0.4873,0.133,"(3, 4, 16)"
Linear Regression,1.8786,5.5958,2.3496,0.1418,0.6298,0.5188,0.127,"(3, 4, 16)"
AdaBoost Regressor,1.9217,5.5921,2.358,0.1354,0.628,0.5121,0.166,"(3, 4, 16)"
Bayesian Ridge,1.9351,5.8001,2.4009,0.1055,0.6375,0.5191,0.129,"(3, 4, 16)"
Huber Regressor,1.9368,5.8999,2.4183,0.0907,0.6337,0.5148,0.131,"(3, 4, 16)"
Orthogonal Matching Pursuit,1.9775,5.9097,2.4227,0.0923,0.6437,0.5372,0.138,"(3, 4, 16)"
Elastic Net,2.0479,6.2541,2.4931,0.0375,0.6547,0.5728,0.127,"(3, 4, 16)"
Lasso Regression,2.0501,6.249,2.4922,0.0388,0.6558,0.5755,0.135,"(3, 4, 16)"
Lasso Least Angle Regression,2.0501,6.249,2.4922,0.0388,0.6558,0.5755,0.129,"(3, 4, 16)"
Dummy Regressor,2.1162,6.7122,2.5829,-0.0296,0.6752,0.5993,0.134,"(3, 4, 16)"
K Neighbors Regressor,2.2219,7.3101,2.6971,-0.1325,0.6816,0.6269,0.128,"(3, 4, 16)"
Decision Tree Regressor,2.324,9.657,3.087,-0.4929,0.8242,0.5974,0.131,"(3, 4, 16)"
Passive Aggressive Regressor,3.0051,13.9838,3.67,-1.1033,0.8662,0.7445,0.129,"(3, 4, 16)"
Least Angle Regression,4728739.6939,295911363476701.94,6522345.5721,-37850345311596.83,6.6752,1367877.5086,0.132,"(3, 4, 16)"
Extra Trees Regressor,1.7288,4.9013,2.1974,0.2829,0.5599,0.4868,0.2,"(3, 4, 17)"
Light Gradient Boosting Machine,1.8272,5.3149,2.2928,0.2095,0.574,0.5147,0.152,"(3, 4, 17)"
Random Forest Regressor,1.8628,5.4259,2.314,0.2031,0.5848,0.545,0.283,"(3, 4, 17)"
Gradient Boosting Regressor,1.8736,5.6396,2.3681,0.1601,0.5874,0.5338,0.205,"(3, 4, 17)"
Linear Regression,1.9301,6.2382,2.4794,0.072,0.5961,0.5556,0.134,"(3, 4, 17)"
AdaBoost Regressor,1.9879,5.9029,2.415,0.1365,0.6066,0.5749,0.165,"(3, 4, 17)"
Ridge Regression,2.005,6.2724,2.4843,0.0746,0.6122,0.5741,0.132,"(3, 4, 17)"
Huber Regressor,2.0629,6.6455,2.5603,0.0229,0.6271,0.5676,0.139,"(3, 4, 17)"
Bayesian Ridge,2.0694,6.4468,2.523,0.0553,0.6278,0.5989,0.132,"(3, 4, 17)"
Orthogonal Matching Pursuit,2.1585,6.9877,2.6288,-0.0271,0.6505,0.6447,0.134,"(3, 4, 17)"
Elastic Net,2.1596,6.8773,2.6106,-0.0048,0.6501,0.6506,0.132,"(3, 4, 17)"
Lasso Regression,2.1648,6.8956,2.6149,-0.0072,0.6516,0.6539,0.13,"(3, 4, 17)"
Lasso Least Angle Regression,2.1648,6.8956,2.6149,-0.0072,0.6516,0.6539,0.132,"(3, 4, 17)"
Dummy Regressor,2.1849,7.0218,2.64,-0.0232,0.6568,0.6656,0.132,"(3, 4, 17)"
K Neighbors Regressor,2.1985,7.3812,2.7082,-0.0832,0.6601,0.6111,0.132,"(3, 4, 17)"
Decision Tree Regressor,2.3713,10.4913,3.2243,-0.5371,0.7731,0.7292,0.132,"(3, 4, 17)"
Passive Aggressive Regressor,4.2475,30.0563,5.153,-3.6359,0.8951,1.4009,0.135,"(3, 4, 17)"
Least Angle Regression,8.49906057810747e+175,inf,inf,-inf,47.2508,3.190489594849594e+175,0.142,"(3, 4, 17)"
Extra Trees Regressor,1.629,4.2405,2.0401,0.3203,0.5478,0.4398,0.197,"(3, 6, 9)"
Light Gradient Boosting Machine,1.679,4.5481,2.1172,0.2658,0.5627,0.4633,0.152,"(3, 6, 9)"
Random Forest Regressor,1.7504,4.8274,2.1831,0.2258,0.577,0.4822,0.279,"(3, 6, 9)"
Linear Regression,1.81,5.3095,2.2841,0.1348,0.5877,0.5122,0.133,"(3, 6, 9)"
Gradient Boosting Regressor,1.8229,5.1887,2.265,0.1588,0.5904,0.5019,0.203,"(3, 6, 9)"
AdaBoost Regressor,1.897,5.2345,2.2806,0.1486,0.5985,0.5343,0.175,"(3, 6, 9)"
Ridge Regression,1.9529,5.9361,2.4171,0.0518,0.6272,0.5519,0.136,"(3, 6, 9)"
Dummy Regressor,2.0351,6.3526,2.508,-0.0201,0.6487,0.6046,0.137,"(3, 6, 9)"
Huber Regressor,2.0378,6.331,2.4963,-0.0121,0.6405,0.5863,0.137,"(3, 6, 9)"
Lasso Least Angle Regression,2.0436,6.3327,2.5036,-0.0166,0.6463,0.6044,0.134,"(3, 6, 9)"
Lasso Regression,2.0436,6.3327,2.5036,-0.0166,0.6463,0.6044,0.134,"(3, 6, 9)"
