Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects,Sensor,Combinations
Lasso Regression,2.0709,6.0896,2.4662,0.0609,0.7385,0.6817,0.186,"(1, 8, 17)",wrist,3
AdaBoost Regressor,2.0988,5.9672,2.4401,0.0806,0.7629,0.7751,0.206,"(1, 8, 17)",wrist,3
Orthogonal Matching Pursuit,2.1509,6.4632,2.5399,0.0054,0.7539,0.7167,0.189,"(1, 8, 17)",wrist,3
K Neighbors Regressor,2.1554,6.9731,2.6376,-0.0761,0.7591,0.732,0.197,"(1, 8, 17)",wrist,3
Decision Tree Regressor,2.159,9.0631,3.0037,-0.3982,0.8666,0.7624,0.201,"(1, 8, 17)",wrist,3
Dummy Regressor,2.1648,6.5089,2.549,-0.0019,0.7562,0.7328,0.192,"(1, 8, 17)",wrist,3
Passive Aggressive Regressor,3.5519,22.5193,4.269,-2.3568,1.0251,1.3341,0.25,"(1, 8, 17)",wrist,3
Least Angle Regression,46.7329,23588.3198,58.2602,-3741.9236,1.4312,22.2434,0.187,"(1, 8, 17)",wrist,3
Extra Trees Regressor,1.435,3.5984,1.8945,0.4491,0.571,0.4505,0.243,"(1, 9, 10)",wrist,3
Random Forest Regressor,1.4878,3.878,1.9657,0.4064,0.5901,0.4682,0.321,"(1, 9, 10)",wrist,3
Light Gradient Boosting Machine,1.5111,3.9841,1.9907,0.3892,0.5878,0.5049,0.212,"(1, 9, 10)",wrist,3
Gradient Boosting Regressor,1.6153,4.2505,2.0577,0.3497,0.6173,0.5253,0.277,"(1, 9, 10)",wrist,3
Linear Regression,1.8053,5.0526,2.2432,0.2268,0.6646,0.627,0.197,"(1, 9, 10)",wrist,3
Decision Tree Regressor,1.8441,7.3297,2.7,-0.1277,0.7838,0.6472,0.195,"(1, 9, 10)",wrist,3
Bayesian Ridge,1.875,5.3386,2.3076,0.1834,0.6862,0.6371,0.2,"(1, 9, 10)",wrist,3
Ridge Regression,1.9505,5.6136,2.3661,0.1409,0.7013,0.6707,0.189,"(1, 9, 10)",wrist,3
Huber Regressor,1.9725,5.9483,2.4341,0.0918,0.7028,0.6425,0.198,"(1, 9, 10)",wrist,3
AdaBoost Regressor,2.0623,5.7497,2.3959,0.1207,0.7506,0.8113,0.207,"(1, 9, 10)",wrist,3
Elastic Net,2.0858,6.2026,2.4879,0.053,0.738,0.7106,0.229,"(1, 9, 10)",wrist,3
Lasso Regression,2.0868,6.2053,2.4885,0.0526,0.7381,0.7103,0.2,"(1, 9, 10)",wrist,3
Lasso Least Angle Regression,2.0868,6.2053,2.4885,0.0526,0.7381,0.7103,0.197,"(1, 9, 10)",wrist,3
Orthogonal Matching Pursuit,2.1216,6.3575,2.519,0.0292,0.7425,0.7164,0.219,"(1, 9, 10)",wrist,3
K Neighbors Regressor,2.1452,6.9572,2.6351,-0.0652,0.7631,0.7163,0.196,"(1, 9, 10)",wrist,3
Dummy Regressor,2.1889,6.5907,2.5649,-0.0064,0.7553,0.7834,0.185,"(1, 9, 10)",wrist,3
Passive Aggressive Regressor,3.3613,18.58,4.0167,-1.8632,0.9705,1.454,0.196,"(1, 9, 10)",wrist,3
Least Angle Regression,28.7046,4901.928,38.5619,-754.3105,1.5928,14.548,0.25,"(1, 9, 10)",wrist,3
Extra Trees Regressor,1.488,3.828,1.9498,0.3937,0.5964,0.4756,0.24,"(1, 9, 12)",wrist,3
Random Forest Regressor,1.5155,3.9589,1.9833,0.3732,0.6031,0.4944,0.335,"(1, 9, 12)",wrist,3
Light Gradient Boosting Machine,1.5596,4.2579,2.0582,0.3237,0.6191,0.534,0.214,"(1, 9, 12)",wrist,3
Gradient Boosting Regressor,1.6437,4.3955,2.0913,0.3031,0.633,0.5485,0.279,"(1, 9, 12)",wrist,3
Linear Regression,1.8123,5.1679,2.2669,0.1811,0.682,0.6136,0.194,"(1, 9, 12)",wrist,3
Bayesian Ridge,1.8954,5.4974,2.3387,0.1284,0.7026,0.6475,0.196,"(1, 9, 12)",wrist,3
Ridge Regression,1.9096,5.543,2.348,0.1214,0.706,0.6542,0.186,"(1, 9, 12)",wrist,3
Huber Regressor,1.9217,5.9183,2.4257,0.0621,0.7043,0.6081,0.232,"(1, 9, 12)",wrist,3
Decision Tree Regressor,1.9854,8.0931,2.8382,-0.2846,0.818,0.7303,0.193,"(1, 9, 12)",wrist,3
Lasso Least Angle Regression,2.0252,5.9875,2.4417,0.0506,0.7372,0.6959,0.189,"(1, 9, 12)",wrist,3
Lasso Regression,2.0252,5.9875,2.4417,0.0506,0.7372,0.6959,0.19,"(1, 9, 12)",wrist,3
Elastic Net,2.0256,5.9847,2.4412,0.0508,0.7373,0.6967,0.188,"(1, 9, 12)",wrist,3
Orthogonal Matching Pursuit,2.0324,6.1244,2.469,0.0301,0.7401,0.6908,0.187,"(1, 9, 12)",wrist,3
K Neighbors Regressor,2.0765,6.8447,2.6128,-0.0897,0.7639,0.7127,0.206,"(1, 9, 12)",wrist,3
Dummy Regressor,2.0991,6.3385,2.5127,-0.0048,0.7516,0.7484,0.196,"(1, 9, 12)",wrist,3
AdaBoost Regressor,2.1115,5.9786,2.44,0.0511,0.7832,0.8619,0.211,"(1, 9, 12)",wrist,3
Passive Aggressive Regressor,2.56,11.1631,3.1929,-0.7852,0.8657,1.0193,0.195,"(1, 9, 12)",wrist,3
Least Angle Regression,6.5598,115.6223,8.7776,-18.6498,1.1831,3.1683,0.188,"(1, 9, 12)",wrist,3
Extra Trees Regressor,1.4145,3.5067,1.8705,0.3973,0.5725,0.4724,0.249,"(1, 9, 13)",wrist,3
Light Gradient Boosting Machine,1.4699,3.8452,1.9585,0.339,0.5855,0.5201,0.211,"(1, 9, 13)",wrist,3
Random Forest Regressor,1.4707,3.7665,1.9386,0.3519,0.5872,0.5004,0.397,"(1, 9, 13)",wrist,3
Gradient Boosting Regressor,1.5813,4.0966,2.0221,0.2962,0.6152,0.5417,0.28,"(1, 9, 13)",wrist,3
Linear Regression,1.7282,4.802,2.1869,0.1773,0.6549,0.6077,0.186,"(1, 9, 13)",wrist,3
Ridge Regression,1.8134,5.1188,2.2599,0.1223,0.679,0.6356,0.193,"(1, 9, 13)",wrist,3
Bayesian Ridge,1.8153,5.1037,2.2574,0.124,0.6781,0.6365,0.185,"(1, 9, 13)",wrist,3
Huber Regressor,1.8182,5.4441,2.3305,0.0663,0.6781,0.5903,0.192,"(1, 9, 13)",wrist,3
Decision Tree Regressor,1.8903,7.579,2.7522,-0.3051,0.7954,0.7179,0.194,"(1, 9, 13)",wrist,3
Lasso Least Angle Regression,1.9247,5.5117,2.347,0.0537,0.708,0.6759,0.195,"(1, 9, 13)",wrist,3
Lasso Regression,1.9247,5.5117,2.347,0.0537,0.708,0.6759,0.188,"(1, 9, 13)",wrist,3
Elastic Net,1.9252,5.5089,2.3464,0.0542,0.708,0.6768,0.189,"(1, 9, 13)",wrist,3
Orthogonal Matching Pursuit,1.9323,5.6541,2.3769,0.0297,0.712,0.6711,0.186,"(1, 9, 13)",wrist,3
K Neighbors Regressor,1.9916,6.2372,2.4958,-0.0708,0.731,0.704,0.192,"(1, 9, 13)",wrist,3
AdaBoost Regressor,2.0061,5.4832,2.341,0.0567,0.7503,0.8385,0.212,"(1, 9, 13)",wrist,3
Dummy Regressor,2.0081,5.859,2.4197,-0.0056,0.7247,0.7345,0.189,"(1, 9, 13)",wrist,3
Passive Aggressive Regressor,2.453,9.5154,3.024,-0.6682,0.824,0.9486,0.186,"(1, 9, 13)",wrist,3
Least Angle Regression,5.4776,78.7767,7.3919,-12.4157,1.0819,2.5617,0.19,"(1, 9, 13)",wrist,3
Extra Trees Regressor,1.4036,3.5454,1.877,0.4057,0.5759,0.4456,0.243,"(1, 9, 15)",wrist,3
Light Gradient Boosting Machine,1.4412,3.6919,1.9162,0.3795,0.5771,0.4812,0.216,"(1, 9, 15)",wrist,3
Random Forest Regressor,1.4418,3.6865,1.9145,0.3812,0.5813,0.46,0.318,"(1, 9, 15)",wrist,3
Gradient Boosting Regressor,1.5581,4.0506,2.0056,0.3226,0.6047,0.5095,0.267,"(1, 9, 15)",wrist,3
Linear Regression,1.7172,4.771,2.1775,0.1979,0.6417,0.6045,0.191,"(1, 9, 15)",wrist,3
Ridge Regression,1.8234,5.1602,2.2677,0.1305,0.6749,0.6362,0.191,"(1, 9, 15)",wrist,3
Huber Regressor,1.8281,5.4161,2.3239,0.0853,0.669,0.6062,0.191,"(1, 9, 15)",wrist,3
Bayesian Ridge,1.8422,5.2368,2.2853,0.117,0.6809,0.6452,0.188,"(1, 9, 15)",wrist,3
Decision Tree Regressor,1.8838,7.7257,2.7716,-0.3115,0.7942,0.6658,0.188,"(1, 9, 15)",wrist,3
Elastic Net,1.9229,5.4888,2.3406,0.0755,0.7021,0.6782,0.189,"(1, 9, 15)",wrist,3
Lasso Regression,1.9236,5.492,2.3412,0.0753,0.7023,0.6775,0.191,"(1, 9, 15)",wrist,3
Lasso Least Angle Regression,1.9236,5.492,2.3412,0.0753,0.7023,0.6775,0.19,"(1, 9, 15)",wrist,3
AdaBoost Regressor,1.9528,5.4027,2.3223,0.0885,0.7333,0.7742,0.204,"(1, 9, 15)",wrist,3
Orthogonal Matching Pursuit,1.9689,5.8211,2.4085,0.0241,0.7149,0.6783,0.188,"(1, 9, 15)",wrist,3
K Neighbors Regressor,1.9954,6.23,2.4924,-0.0577,0.7248,0.6839,0.191,"(1, 9, 15)",wrist,3
Dummy Regressor,2.0282,6.0245,2.4496,-0.0087,0.727,0.7298,0.23,"(1, 9, 15)",wrist,3
Passive Aggressive Regressor,2.5389,10.5459,3.1993,-0.7646,0.8886,0.955,0.187,"(1, 9, 15)",wrist,3
Least Angle Regression,3.9826,32.4577,5.218,-4.307,0.945,1.7098,0.188,"(1, 9, 15)",wrist,3
Extra Trees Regressor,1.3741,3.2934,1.8132,0.4336,0.5557,0.442,0.253,"(1, 9, 16)",wrist,3
Light Gradient Boosting Machine,1.4382,3.6492,1.9087,0.3719,0.5688,0.4975,0.216,"(1, 9, 16)",wrist,3
Random Forest Regressor,1.4414,3.5637,1.8867,0.3873,0.5737,0.469,0.363,"(1, 9, 16)",wrist,3
Gradient Boosting Regressor,1.5584,3.9142,1.9774,0.3271,0.5978,0.5243,0.293,"(1, 9, 16)",wrist,3
Linear Regression,1.7211,4.608,2.1454,0.2064,0.6424,0.6172,0.186,"(1, 9, 16)",wrist,3
Ridge Regression,1.7965,4.8977,2.2116,0.1582,0.6671,0.6346,0.186,"(1, 9, 16)",wrist,3
Bayesian Ridge,1.8105,4.9555,2.2246,0.1484,0.6713,0.6386,0.19,"(1, 9, 16)",wrist,3
Huber Regressor,1.821,5.1807,2.2742,0.1104,0.6681,0.6022,0.188,"(1, 9, 16)",wrist,3
Decision Tree Regressor,1.8771,7.1115,2.6593,-0.2213,0.7798,0.6988,0.207,"(1, 9, 16)",wrist,3
AdaBoost Regressor,1.9358,5.1072,2.2586,0.122,0.7265,0.7659,0.215,"(1, 9, 16)",wrist,3
Lasso Regression,1.9387,5.4625,2.336,0.0621,0.7104,0.664,0.191,"(1, 9, 16)",wrist,3
Lasso Least Angle Regression,1.9387,5.4625,2.336,0.0621,0.7104,0.664,0.197,"(1, 9, 16)",wrist,3
Elastic Net,1.9389,5.4598,2.3354,0.0625,0.7105,0.6646,0.191,"(1, 9, 16)",wrist,3
Orthogonal Matching Pursuit,1.9562,5.6072,2.367,0.037,0.7134,0.6653,0.186,"(1, 9, 16)",wrist,3
K Neighbors Regressor,2.0225,6.2927,2.5063,-0.0807,0.7339,0.6908,0.198,"(1, 9, 16)",wrist,3
Dummy Regressor,2.0273,5.8509,2.418,-0.0047,0.7265,0.7304,0.207,"(1, 9, 16)",wrist,3
Least Angle Regression,2.8423,15.6598,3.7021,-1.6866,0.8566,1.1985,0.197,"(1, 9, 16)",wrist,3
Passive Aggressive Regressor,4.0699,27.1105,4.8743,-3.6539,1.1015,2.1685,0.19,"(1, 9, 16)",wrist,3
Extra Trees Regressor,1.4983,3.8797,1.9612,0.3928,0.5909,0.4903,0.265,"(1, 9, 17)",wrist,3
Random Forest Regressor,1.5646,4.1693,2.0325,0.3472,0.6067,0.518,0.33,"(1, 9, 17)",wrist,3
Light Gradient Boosting Machine,1.5753,4.2106,2.0428,0.3406,0.6086,0.547,0.211,"(1, 9, 17)",wrist,3
Gradient Boosting Regressor,1.6878,4.5646,2.1273,0.2858,0.6346,0.5672,0.283,"(1, 9, 17)",wrist,3
Linear Regression,1.8577,5.3508,2.3091,0.1553,0.6811,0.6438,0.2,"(1, 9, 17)",wrist,3
Decision Tree Regressor,1.8887,7.3772,2.712,-0.1744,0.7792,0.7044,0.19,"(1, 9, 17)",wrist,3
Huber Regressor,1.9394,5.9698,2.4374,0.0608,0.7042,0.6249,0.192,"(1, 9, 17)",wrist,3
Ridge Regression,1.9396,5.641,2.3702,0.1117,0.705,0.6713,0.192,"(1, 9, 17)",wrist,3
Bayesian Ridge,1.9566,5.7215,2.3873,0.0987,0.7112,0.6758,0.186,"(1, 9, 17)",wrist,3
Elastic Net,2.0477,6.0493,2.4549,0.0473,0.7366,0.7029,0.185,"(1, 9, 17)",wrist,3
Lasso Regression,2.0489,6.0521,2.4556,0.0469,0.7367,0.7029,0.184,"(1, 9, 17)",wrist,3
Lasso Least Angle Regression,2.0489,6.0521,2.4556,0.0469,0.7367,0.7029,0.193,"(1, 9, 17)",wrist,3
Orthogonal Matching Pursuit,2.0769,6.2085,2.4876,0.0219,0.7421,0.708,0.187,"(1, 9, 17)",wrist,3
AdaBoost Regressor,2.105,5.9768,2.4404,0.0572,0.7728,0.8412,0.201,"(1, 9, 17)",wrist,3
Dummy Regressor,2.1232,6.389,2.5229,-0.0051,0.7521,0.7548,0.186,"(1, 9, 17)",wrist,3
K Neighbors Regressor,2.16,6.973,2.6381,-0.1053,0.7639,0.7617,0.188,"(1, 9, 17)",wrist,3
Passive Aggressive Regressor,2.8953,12.9189,3.5054,-1.1181,0.9057,1.0576,0.191,"(1, 9, 17)",wrist,3
Least Angle Regression,12.6268,878.1567,16.5163,-131.5193,1.3337,5.6857,0.188,"(1, 9, 17)",wrist,3
Extra Trees Regressor,1.592,4.2278,2.0527,0.4041,0.6291,0.5002,0.25,"(1, 10, 12)",wrist,3
Random Forest Regressor,1.6432,4.4566,2.1058,0.3716,0.6395,0.5145,0.354,"(1, 10, 12)",wrist,3
Light Gradient Boosting Machine,1.6654,4.6939,2.1612,0.3381,0.6467,0.5449,0.256,"(1, 10, 12)",wrist,3
Gradient Boosting Regressor,1.8147,5.0468,2.2423,0.2887,0.6791,0.5958,0.299,"(1, 10, 12)",wrist,3
Linear Regression,2.0156,6.0516,2.4549,0.1501,0.73,0.6868,0.185,"(1, 10, 12)",wrist,3
Decision Tree Regressor,2.0753,8.7434,2.9562,-0.236,0.8489,0.7486,0.189,"(1, 10, 12)",wrist,3
Ridge Regression,2.0902,6.2971,2.5063,0.114,0.7429,0.7121,0.19,"(1, 10, 12)",wrist,3
Huber Regressor,2.0972,6.6723,2.5792,0.0616,0.7427,0.668,0.192,"(1, 10, 12)",wrist,3
Bayesian Ridge,2.0977,6.3466,2.5159,0.107,0.7461,0.715,0.187,"(1, 10, 12)",wrist,3
AdaBoost Regressor,2.1783,6.301,2.5089,0.1113,0.7871,0.8153,0.213,"(1, 10, 12)",wrist,3
Elastic Net,2.2208,6.8403,2.614,0.0359,0.7799,0.7591,0.185,"(1, 10, 12)",wrist,3
Lasso Regression,2.2211,6.8425,2.6145,0.0356,0.7799,0.7586,0.188,"(1, 10, 12)",wrist,3
Lasso Least Angle Regression,2.2211,6.8425,2.6145,0.0356,0.7799,0.7586,0.182,"(1, 10, 12)",wrist,3
K Neighbors Regressor,2.2416,7.5443,2.7444,-0.0627,0.7937,0.7673,0.189,"(1, 10, 12)",wrist,3
Orthogonal Matching Pursuit,2.25,7.009,2.6463,0.0118,0.7844,0.7626,0.189,"(1, 10, 12)",wrist,3
Dummy Regressor,2.28,7.1224,2.6674,-0.0037,0.7894,0.8026,0.2,"(1, 10, 12)",wrist,3
Passive Aggressive Regressor,3.4516,18.4678,4.1941,-1.6115,1.0449,1.6316,0.197,"(1, 10, 12)",wrist,3
Least Angle Regression,7.3148,305.1317,9.4044,-41.4049,1.0972,3.145,0.187,"(1, 10, 12)",wrist,3
Extra Trees Regressor,1.4725,3.6912,1.9182,0.4137,0.5876,0.4662,0.251,"(1, 10, 13)",wrist,3
Random Forest Regressor,1.514,3.8392,1.9562,0.3906,0.5952,0.4832,0.331,"(1, 10, 13)",wrist,3
Light Gradient Boosting Machine,1.5287,4.0112,1.9994,0.3622,0.6053,0.5052,0.24,"(1, 10, 13)",wrist,3
Gradient Boosting Regressor,1.6216,4.2193,2.0498,0.3302,0.6238,0.5271,0.285,"(1, 10, 13)",wrist,3
Linear Regression,1.8326,5.131,2.2628,0.1836,0.6752,0.6325,0.197,"(1, 10, 13)",wrist,3
Bayesian Ridge,1.8562,5.1825,2.2742,0.1758,0.6783,0.6393,0.193,"(1, 10, 13)",wrist,3
Decision Tree Regressor,1.9135,7.5101,2.7316,-0.1921,0.7973,0.7323,0.198,"(1, 10, 13)",wrist,3
Ridge Regression,1.9376,5.5251,2.3482,0.1221,0.6987,0.6657,0.206,"(1, 10, 13)",wrist,3
Huber Regressor,1.9739,5.9163,2.43,0.0593,0.7033,0.6459,0.243,"(1, 10, 13)",wrist,3
Elastic Net,2.0421,5.9524,2.4383,0.053,0.7293,0.7012,0.236,"(1, 10, 13)",wrist,3
Lasso Regression,2.043,5.9551,2.4388,0.0526,0.7293,0.7007,0.198,"(1, 10, 13)",wrist,3
Lasso Least Angle Regression,2.043,5.9551,2.4388,0.0526,0.7293,0.7007,0.201,"(1, 10, 13)",wrist,3
AdaBoost Regressor,2.0539,5.7046,2.387,0.092,0.7541,0.8051,0.202,"(1, 10, 13)",wrist,3
Orthogonal Matching Pursuit,2.0724,6.1139,2.4712,0.0275,0.7341,0.7029,0.186,"(1, 10, 13)",wrist,3
K Neighbors Regressor,2.111,6.8213,2.6097,-0.0887,0.7577,0.7138,0.241,"(1, 10, 13)",wrist,3
Dummy Regressor,2.1341,6.3234,2.5126,-0.0048,0.7447,0.7699,0.243,"(1, 10, 13)",wrist,3
Passive Aggressive Regressor,2.9845,13.8868,3.6106,-1.2723,0.9298,1.2068,0.199,"(1, 10, 13)",wrist,3
Least Angle Regression,67.5767,57194.7445,87.8874,-9063.9585,1.6005,31.5511,0.189,"(1, 10, 13)",wrist,3
Extra Trees Regressor,1.4984,3.9154,1.9747,0.4176,0.6023,0.4461,0.247,"(1, 10, 15)",wrist,3
Random Forest Regressor,1.5426,4.1022,2.0211,0.3894,0.6155,0.4646,0.329,"(1, 10, 15)",wrist,3
Light Gradient Boosting Machine,1.5462,4.1996,2.0425,0.3759,0.6141,0.4937,0.219,"(1, 10, 15)",wrist,3
Gradient Boosting Regressor,1.6759,4.5915,2.1386,0.3158,0.6499,0.5157,0.274,"(1, 10, 15)",wrist,3
Linear Regression,1.9065,5.5629,2.355,0.1727,0.7014,0.6406,0.187,"(1, 10, 15)",wrist,3
Decision Tree Regressor,1.9572,8.0897,2.8386,-0.2081,0.823,0.6569,0.188,"(1, 10, 15)",wrist,3
Ridge Regression,1.984,5.8237,2.4103,0.1336,0.716,0.6695,0.196,"(1, 10, 15)",wrist,3
Huber Regressor,1.9946,6.1042,2.4663,0.0926,0.7134,0.6488,0.253,"(1, 10, 15)",wrist,3
Bayesian Ridge,1.9974,5.8715,2.4203,0.1263,0.7202,0.6759,0.2,"(1, 10, 15)",wrist,3
AdaBoost Regressor,2.0851,6.0007,2.448,0.1062,0.7652,0.7847,0.217,"(1, 10, 15)",wrist,3
Least Angle Regression,2.0942,7.1537,2.6277,-0.0659,0.7434,0.7353,0.198,"(1, 10, 15)",wrist,3
Elastic Net,2.0964,6.2579,2.4999,0.0681,0.746,0.7154,0.186,"(1, 10, 15)",wrist,3
Lasso Regression,2.0974,6.2609,2.5005,0.0677,0.7463,0.7149,0.196,"(1, 10, 15)",wrist,3
Lasso Least Angle Regression,2.0974,6.2609,2.5005,0.0677,0.7463,0.7149,0.221,"(1, 10, 15)",wrist,3
Orthogonal Matching Pursuit,2.1586,6.5697,2.5616,0.0219,0.758,0.7225,0.231,"(1, 10, 15)",wrist,3
K Neighbors Regressor,2.1754,7.1532,2.6714,-0.065,0.7749,0.7301,0.194,"(1, 10, 15)",wrist,3
Dummy Regressor,2.2123,6.7517,2.5967,-0.0047,0.7666,0.7788,0.187,"(1, 10, 15)",wrist,3
Passive Aggressive Regressor,3.4159,21.5467,4.1556,-2.0305,0.9967,1.6218,0.194,"(1, 10, 15)",wrist,3
Extra Trees Regressor,1.4766,3.6889,1.9175,0.4243,0.5919,0.4622,0.258,"(1, 10, 16)",wrist,3
Random Forest Regressor,1.5278,3.9222,1.9772,0.3881,0.6067,0.4762,0.354,"(1, 10, 16)",wrist,3
Light Gradient Boosting Machine,1.5754,4.2222,2.0512,0.3409,0.6188,0.5229,0.224,"(1, 10, 16)",wrist,3
Gradient Boosting Regressor,1.6579,4.366,2.0873,0.3178,0.6373,0.5377,0.3,"(1, 10, 16)",wrist,3
Linear Regression,1.8969,5.4209,2.3254,0.152,0.6976,0.6629,0.242,"(1, 10, 16)",wrist,3
Huber Regressor,1.9528,5.7822,2.4027,0.0956,0.7049,0.6358,0.19,"(1, 10, 16)",wrist,3
Ridge Regression,1.9555,5.5946,2.3636,0.1248,0.7103,0.6707,0.238,"(1, 10, 16)",wrist,3
Bayesian Ridge,1.9672,5.6337,2.372,0.1187,0.7138,0.6738,0.187,"(1, 10, 16)",wrist,3
Decision Tree Regressor,1.9682,7.7968,2.7883,-0.2198,0.8141,0.6905,0.196,"(1, 10, 16)",wrist,3
AdaBoost Regressor,2.0529,5.7373,2.3943,0.1021,0.7597,0.7697,0.212,"(1, 10, 16)",wrist,3
Elastic Net,2.0883,6.1278,2.4746,0.041,0.7477,0.7113,0.248,"(1, 10, 16)",wrist,3
Lasso Regression,2.0893,6.1304,2.4751,0.0406,0.7478,0.7111,0.194,"(1, 10, 16)",wrist,3
Lasso Least Angle Regression,2.0893,6.1304,2.4751,0.0406,0.7478,0.7111,0.193,"(1, 10, 16)",wrist,3
Orthogonal Matching Pursuit,2.1244,6.3098,2.5109,0.013,0.7533,0.7173,0.186,"(1, 10, 16)",wrist,3
K Neighbors Regressor,2.1286,6.7517,2.5969,-0.0573,0.7655,0.7303,0.196,"(1, 10, 16)",wrist,3
Dummy Regressor,2.1553,6.4138,2.5316,-0.0033,0.7586,0.7551,0.191,"(1, 10, 16)",wrist,3
Passive Aggressive Regressor,2.8302,13.3145,3.5498,-1.0949,0.9175,1.081,0.188,"(1, 10, 16)",wrist,3
Least Angle Regression,3.4439,22.3399,4.4492,-2.5313,0.9173,1.4125,0.199,"(1, 10, 16)",wrist,3
Extra Trees Regressor,1.5667,4.1223,2.0269,0.4044,0.6051,0.4791,0.29,"(1, 10, 17)",wrist,3
Random Forest Regressor,1.6143,4.3454,2.0816,0.372,0.619,0.4971,0.322,"(1, 10, 17)",wrist,3
Light Gradient Boosting Machine,1.6449,4.6111,2.1443,0.3334,0.6263,0.5378,0.209,"(1, 10, 17)",wrist,3
Gradient Boosting Regressor,1.7638,4.9246,2.2173,0.2881,0.6554,0.5564,0.283,"(1, 10, 17)",wrist,3
Linear Regression,1.9873,5.8223,2.4106,0.1581,0.709,0.6751,0.195,"(1, 10, 17)",wrist,3
Ridge Regression,2.055,6.0563,2.4596,0.1247,0.7225,0.6926,0.195,"(1, 10, 17)",wrist,3
Decision Tree Regressor,2.0612,8.5796,2.9176,-0.2415,0.8118,0.7195,0.201,"(1, 10, 17)",wrist,3
Bayesian Ridge,2.0675,6.1018,2.4688,0.1183,0.7272,0.699,0.186,"(1, 10, 17)",wrist,3
Huber Regressor,2.0745,6.355,2.519,0.0822,0.727,0.6731,0.189,"(1, 10, 17)",wrist,3
AdaBoost Regressor,2.1548,6.1992,2.4888,0.1038,0.7694,0.8129,0.205,"(1, 10, 17)",wrist,3
Elastic Net,2.1855,6.6125,2.5711,0.0437,0.7569,0.7425,0.189,"(1, 10, 17)",wrist,3
Lasso Regression,2.1877,6.6154,2.5717,0.0433,0.7571,0.7428,0.187,"(1, 10, 17)",wrist,3
Lasso Least Angle Regression,2.1877,6.6154,2.5717,0.0433,0.7571,0.7428,0.184,"(1, 10, 17)",wrist,3
K Neighbors Regressor,2.2314,7.271,2.6953,-0.0511,0.7698,0.7341,0.202,"(1, 10, 17)",wrist,3
Orthogonal Matching Pursuit,2.2331,6.7993,2.607,0.0172,0.7642,0.7537,0.188,"(1, 10, 17)",wrist,3
Dummy Regressor,2.2796,6.9645,2.6385,-0.0064,0.7719,0.8023,0.184,"(1, 10, 17)",wrist,3
Least Angle Regression,2.3383,8.8659,2.9288,-0.287,0.7932,0.854,0.192,"(1, 10, 17)",wrist,3
Passive Aggressive Regressor,3.4431,18.8328,4.1411,-1.7444,1.0213,1.6002,0.19,"(1, 10, 17)",wrist,3
Extra Trees Regressor,1.5561,4.0995,2.0194,0.3629,0.6209,0.5089,0.249,"(1, 12, 13)",wrist,3
Light Gradient Boosting Machine,1.6184,4.4476,2.1048,0.3062,0.6362,0.5507,0.224,"(1, 12, 13)",wrist,3
Random Forest Regressor,1.62,4.3736,2.0872,0.3192,0.6392,0.5291,0.346,"(1, 12, 13)",wrist,3
Gradient Boosting Regressor,1.7257,4.8094,2.1895,0.2514,0.6626,0.5719,0.281,"(1, 12, 13)",wrist,3
Linear Regression,1.9059,5.5974,2.3622,0.1291,0.7073,0.6557,0.184,"(1, 12, 13)",wrist,3
Ridge Regression,1.9756,5.8532,2.415,0.0908,0.7235,0.6798,0.187,"(1, 12, 13)",wrist,3
Bayesian Ridge,1.9781,5.8767,2.4199,0.0871,0.7242,0.6843,0.195,"(1, 12, 13)",wrist,3
Huber Regressor,1.9891,6.2257,2.4898,0.0332,0.7181,0.6329,0.183,"(1, 12, 13)",wrist,3
Decision Tree Regressor,2.0396,8.4402,2.8997,-0.3159,0.8411,0.7578,0.186,"(1, 12, 13)",wrist,3
Elastic Net,2.0742,6.2081,2.4883,0.0346,0.7514,0.7183,0.196,"(1, 12, 13)",wrist,3
Lasso Regression,2.0744,6.2108,2.4888,0.0343,0.7514,0.7176,0.184,"(1, 12, 13)",wrist,3
Lasso Least Angle Regression,2.0744,6.2108,2.4888,0.0343,0.7514,0.7176,0.183,"(1, 12, 13)",wrist,3
Orthogonal Matching Pursuit,2.0891,6.392,2.5248,0.0066,0.7569,0.7142,0.187,"(1, 12, 13)",wrist,3
Dummy Regressor,2.1333,6.491,2.5448,-0.0094,0.7613,0.7597,0.189,"(1, 12, 13)",wrist,3
K Neighbors Regressor,2.1438,7.1563,2.6709,-0.1129,0.777,0.7424,0.192,"(1, 12, 13)",wrist,3
AdaBoost Regressor,2.1792,6.2956,2.5071,0.0184,0.8024,0.8928,0.198,"(1, 12, 13)",wrist,3
Passive Aggressive Regressor,2.61,11.0049,3.2403,-0.7139,0.8833,1.0995,0.185,"(1, 12, 13)",wrist,3
Least Angle Regression,5.6109,151.7023,7.3718,-24.9525,1.0111,2.8024,0.193,"(1, 12, 13)",wrist,3
Extra Trees Regressor,1.5346,4.1431,2.0322,0.3661,0.6047,0.4905,0.256,"(1, 12, 15)",wrist,3
Random Forest Regressor,1.5637,4.1968,2.0463,0.3569,0.6113,0.5068,0.354,"(1, 12, 15)",wrist,3
Light Gradient Boosting Machine,1.5846,4.3717,2.0873,0.3311,0.6157,0.5467,0.208,"(1, 12, 15)",wrist,3
