Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Gradient Boosting Regressor,1.181,2.4697,1.5697,0.5466,0.5336,0.3881,4.703,"(2, 3, 8)"
Random Forest Regressor,0.8105,1.5157,1.2231,0.6988,0.4248,0.2614,5.038,"(2, 3, 9)"
Decision Tree Regressor,0.8318,2.6383,1.6133,0.4726,0.5162,0.3207,4.289,"(2, 3, 9)"
Gradient Boosting Regressor,1.0783,2.1898,1.4738,0.5635,0.5091,0.3649,4.79,"(2, 3, 9)"
Random Forest Regressor,0.8941,1.7514,1.3193,0.7033,0.4525,0.2766,4.881,"(2, 3, 10)"
Decision Tree Regressor,0.8947,3.0659,1.7323,0.4825,0.5313,0.3356,4.291,"(2, 3, 10)"
Gradient Boosting Regressor,1.166,2.5393,1.5881,0.57,0.5311,0.3641,4.776,"(2, 3, 10)"
Random Forest Regressor,0.8243,1.5546,1.2446,0.7209,0.4273,0.2756,4.942,"(2, 3, 12)"
Decision Tree Regressor,0.8422,2.5308,1.5814,0.545,0.5229,0.3293,4.331,"(2, 3, 12)"
Gradient Boosting Regressor,1.1386,2.4217,1.5543,0.5645,0.5274,0.3934,5.184,"(2, 3, 12)"
Decision Tree Regressor,0.8057,2.3053,1.4953,0.5406,0.4967,0.3228,4.345,"(2, 3, 13)"
Random Forest Regressor,0.8266,1.5035,1.2224,0.7026,0.4282,0.2864,5.043,"(2, 3, 13)"
Gradient Boosting Regressor,1.0791,2.1642,1.4655,0.5724,0.5101,0.3827,4.782,"(2, 3, 13)"
Random Forest Regressor,0.7659,1.3484,1.1555,0.7477,0.4086,0.2433,5.016,"(2, 3, 15)"
Decision Tree Regressor,0.8788,2.7658,1.65,0.4803,0.5307,0.3212,4.468,"(2, 3, 15)"
Gradient Boosting Regressor,1.045,2.091,1.4423,0.6055,0.5007,0.3423,4.834,"(2, 3, 15)"
Decision Tree Regressor,0.7681,2.1943,1.4761,0.5709,0.4937,0.3097,4.435,"(2, 3, 16)"
Random Forest Regressor,0.771,1.2983,1.1325,0.748,0.4073,0.2544,5.162,"(2, 3, 16)"
Gradient Boosting Regressor,1.0532,2.0832,1.4376,0.5934,0.5019,0.3588,4.799,"(2, 3, 16)"
Random Forest Regressor,0.8358,1.5677,1.2494,0.7129,0.4356,0.2692,5.087,"(2, 3, 17)"
Decision Tree Regressor,0.8542,2.6755,1.6197,0.5117,0.5218,0.3283,4.629,"(2, 3, 17)"
Gradient Boosting Regressor,1.1657,2.4946,1.5768,0.5429,0.5341,0.3865,4.821,"(2, 3, 17)"
Decision Tree Regressor,0.9045,2.9007,1.6971,0.5293,0.5346,0.294,4.462,"(2, 4, 5)"
Random Forest Regressor,0.9371,1.8535,1.354,0.6999,0.4495,0.2816,5.146,"(2, 4, 5)"
Gradient Boosting Regressor,1.2838,2.9176,1.7044,0.5269,0.5517,0.3906,4.863,"(2, 4, 5)"
Random Forest Regressor,0.9342,1.7851,1.3345,0.674,0.4615,0.2957,5.329,"(2, 4, 6)"
Decision Tree Regressor,1.0217,3.2737,1.8047,0.4023,0.5859,0.369,4.402,"(2, 4, 6)"
Gradient Boosting Regressor,1.1972,2.5213,1.5864,0.5394,0.5407,0.403,4.844,"(2, 4, 6)"
Decision Tree Regressor,0.8888,2.752,1.6473,0.5542,0.5183,0.3208,4.495,"(2, 4, 8)"
Random Forest Regressor,0.9631,1.8733,1.3662,0.6955,0.458,0.2899,5.372,"(2, 4, 8)"
Gradient Boosting Regressor,1.2492,2.788,1.6673,0.5467,0.5438,0.3945,5.1,"(2, 4, 8)"
Random Forest Regressor,0.924,1.8822,1.3671,0.6838,0.4554,0.2885,5.115,"(2, 4, 9)"
Decision Tree Regressor,1.0669,3.8507,1.9557,0.3485,0.598,0.3669,4.553,"(2, 4, 9)"
Gradient Boosting Regressor,1.1901,2.544,1.5913,0.5723,0.5245,0.416,4.9,"(2, 4, 9)"
Random Forest Regressor,1.0416,2.2168,1.4827,0.6682,0.487,0.2945,5.26,"(2, 4, 10)"
Gradient Boosting Regressor,1.2577,2.8181,1.6737,0.5775,0.5467,0.3768,4.555,"(2, 4, 10)"
Decision Tree Regressor,1.2844,4.7381,2.1704,0.2783,0.6509,0.4396,4.584,"(2, 4, 10)"
Random Forest Regressor,1.0276,2.1401,1.4603,0.6719,0.4898,0.328,5.326,"(2, 4, 12)"
Decision Tree Regressor,1.1884,4.2582,2.0584,0.3372,0.6343,0.4439,4.504,"(2, 4, 12)"
Gradient Boosting Regressor,1.1997,2.6335,1.6189,0.5963,0.5423,0.3903,4.878,"(2, 4, 12)"
Decision Tree Regressor,0.9389,3.2351,1.7907,0.4679,0.5571,0.3479,4.585,"(2, 4, 13)"
Random Forest Regressor,0.9421,1.8087,1.342,0.7031,0.4571,0.3043,5.333,"(2, 4, 13)"
Gradient Boosting Regressor,1.1735,2.4886,1.5741,0.5911,0.527,0.3911,4.869,"(2, 4, 13)"
Random Forest Regressor,0.9872,2.027,1.4198,0.6795,0.4744,0.3009,5.372,"(2, 4, 15)"
Gradient Boosting Regressor,1.1233,2.3259,1.519,0.6325,0.5101,0.3646,5.625,"(2, 4, 15)"
Decision Tree Regressor,1.1358,4.1196,2.0094,0.3404,0.6196,0.4163,4.739,"(2, 4, 15)"
Decision Tree Regressor,0.853,2.6037,1.6031,0.5553,0.526,0.3221,4.27,"(2, 4, 16)"
Random Forest Regressor,0.9115,1.7683,1.3225,0.6999,0.4576,0.2773,4.926,"(2, 4, 16)"
Gradient Boosting Regressor,1.153,2.4699,1.5686,0.5829,0.5256,0.3666,4.702,"(2, 4, 16)"
Random Forest Regressor,0.9879,2.0388,1.4258,0.676,0.4757,0.3003,4.997,"(2, 4, 17)"
Decision Tree Regressor,1.0079,3.492,1.8557,0.442,0.5721,0.3572,4.299,"(2, 4, 17)"
Gradient Boosting Regressor,1.2263,2.7276,1.6493,0.5663,0.5394,0.3937,4.646,"(2, 4, 17)"
Decision Tree Regressor,0.8308,2.407,1.5473,0.5701,0.5164,0.3065,4.308,"(2, 5, 6)"
Random Forest Regressor,0.9138,1.6074,1.2632,0.7159,0.4428,0.2786,5.544,"(2, 5, 6)"
Gradient Boosting Regressor,1.2107,2.5775,1.6029,0.5434,0.5369,0.3935,4.697,"(2, 5, 6)"
Random Forest Regressor,0.9863,1.9574,1.3943,0.6846,0.4682,0.2888,4.948,"(2, 5, 8)"
Decision Tree Regressor,1.0594,3.672,1.9102,0.4057,0.5966,0.3554,4.297,"(2, 5, 8)"
Gradient Boosting Regressor,1.339,3.0988,1.7564,0.5007,0.567,0.4193,4.91,"(2, 5, 8)"
Random Forest Regressor,0.9257,1.8325,1.3472,0.6881,0.4544,0.2852,4.746,"(2, 5, 9)"
Decision Tree Regressor,1.0713,3.6458,1.9005,0.3742,0.6012,0.3757,4.298,"(2, 5, 9)"
Gradient Boosting Regressor,1.258,2.8551,1.6858,0.5124,0.5437,0.4088,4.731,"(2, 5, 9)"
Random Forest Regressor,1.1206,2.4328,1.557,0.6179,0.5019,0.3234,5.294,"(2, 5, 10)"
Decision Tree Regressor,1.2622,4.6232,2.1442,0.2756,0.634,0.4123,4.627,"(2, 5, 10)"
Gradient Boosting Regressor,1.3209,3.1386,1.7688,0.5073,0.561,0.3938,4.733,"(2, 5, 10)"
Decision Tree Regressor,0.9649,3.2974,1.7972,0.4914,0.56,0.3278,4.472,"(2, 5, 12)"
Random Forest Regressor,0.9928,1.9693,1.3983,0.696,0.4748,0.2927,5.395,"(2, 5, 12)"
Gradient Boosting Regressor,1.3007,2.9525,1.7155,0.5436,0.5616,0.4162,5.694,"(2, 5, 12)"
Decision Tree Regressor,0.8301,2.4122,1.5357,0.5818,0.4922,0.3066,4.563,"(2, 5, 13)"
Random Forest Regressor,0.8945,1.6002,1.2601,0.7221,0.4423,0.2822,5.214,"(2, 5, 13)"
Gradient Boosting Regressor,1.1477,2.3629,1.5346,0.5881,0.5141,0.3917,5.113,"(2, 5, 13)"
Random Forest Regressor,0.9475,1.8544,1.3567,0.7013,0.459,0.2772,5.484,"(2, 5, 15)"
Decision Tree Regressor,1.0776,3.8782,1.9441,0.3716,0.5853,0.3545,5.061,"(2, 5, 15)"
Gradient Boosting Regressor,1.2266,2.7056,1.6414,0.5628,0.536,0.3914,5.573,"(2, 5, 15)"
Random Forest Regressor,0.8683,1.5251,1.231,0.7379,0.4326,0.266,5.193,"(2, 5, 16)"
Decision Tree Regressor,0.895,2.8509,1.6748,0.5113,0.5265,0.3192,4.36,"(2, 5, 16)"
Gradient Boosting Regressor,1.1548,2.3873,1.5433,0.5884,0.5094,0.3881,5.174,"(2, 5, 16)"
Random Forest Regressor,0.9494,1.8066,1.3365,0.7177,0.4527,0.2823,5.176,"(2, 5, 17)"
Decision Tree Regressor,1.0776,3.6722,1.9059,0.4268,0.5885,0.3614,4.533,"(2, 5, 17)"
Gradient Boosting Regressor,1.2531,2.8082,1.6691,0.5606,0.5391,0.3984,4.852,"(2, 5, 17)"
Random Forest Regressor,0.9057,1.6463,1.2767,0.6991,0.4432,0.2921,5.585,"(2, 6, 8)"
Decision Tree Regressor,1.0056,3.3238,1.787,0.3993,0.5686,0.3909,4.725,"(2, 6, 8)"
Gradient Boosting Regressor,1.1854,2.4382,1.5568,0.5537,0.5272,0.4007,5.109,"(2, 6, 8)"
Random Forest Regressor,0.8236,1.496,1.218,0.721,0.4242,0.2746,5.262,"(2, 6, 9)"
Decision Tree Regressor,0.9388,3.1808,1.77,0.4079,0.5576,0.3595,4.472,"(2, 6, 9)"
Gradient Boosting Regressor,1.1027,2.2215,1.4865,0.583,0.5128,0.3879,5.012,"(2, 6, 9)"
Random Forest Regressor,0.8526,1.5739,1.251,0.7258,0.4257,0.2725,5.21,"(2, 6, 10)"
Decision Tree Regressor,0.9076,2.8389,1.6736,0.5092,0.5396,0.3327,4.403,"(2, 6, 10)"
Gradient Boosting Regressor,1.1805,2.5738,1.6013,0.5526,0.5249,0.3828,4.932,"(2, 6, 10)"
Decision Tree Regressor,0.8691,2.6425,1.6059,0.5405,0.5159,0.3311,5.022,"(2, 6, 12)"
Random Forest Regressor,0.9085,1.7068,1.3022,0.7021,0.4362,0.3092,6.584,"(2, 6, 12)"
Gradient Boosting Regressor,1.1684,2.4695,1.5694,0.5692,0.5196,0.4104,4.857,"(2, 6, 12)"
Decision Tree Regressor,0.7275,2.0585,1.4178,0.6154,0.4557,0.293,4.449,"(2, 6, 13)"
Random Forest Regressor,0.7967,1.3341,1.1477,0.7504,0.4029,0.2777,5.348,"(2, 6, 13)"
Gradient Boosting Regressor,1.1007,2.157,1.4618,0.5963,0.5065,0.384,5.086,"(2, 6, 13)"
Random Forest Regressor,0.7937,1.3921,1.1741,0.741,0.4149,0.2591,5.016,"(2, 6, 15)"
Decision Tree Regressor,0.8576,2.5163,1.5772,0.5319,0.5187,0.328,4.5,"(2, 6, 15)"
Gradient Boosting Regressor,1.0453,2.0892,1.4399,0.6097,0.4962,0.3425,4.807,"(2, 6, 15)"
Random Forest Regressor,0.8123,1.3635,1.1612,0.747,0.4166,0.2732,5.256,"(2, 6, 16)"
Decision Tree Regressor,0.8885,2.6393,1.6081,0.5117,0.5281,0.3762,4.682,"(2, 6, 16)"
Gradient Boosting Regressor,1.0678,2.0603,1.4295,0.6167,0.4982,0.3746,4.842,"(2, 6, 16)"
Random Forest Regressor,0.8398,1.5218,1.2298,0.7263,0.4264,0.2752,4.936,"(2, 6, 17)"
Decision Tree Regressor,0.8418,2.4751,1.5692,0.5572,0.5311,0.3365,4.433,"(2, 6, 17)"
Gradient Boosting Regressor,1.1382,2.3629,1.5345,0.5751,0.5197,0.3933,4.917,"(2, 6, 17)"
Random Forest Regressor,0.9525,1.8819,1.3658,0.6773,0.4596,0.2943,4.94,"(2, 8, 9)"
Decision Tree Regressor,1.1782,4.3825,2.087,0.2444,0.6407,0.399,4.582,"(2, 8, 9)"
Gradient Boosting Regressor,1.2081,2.6117,1.6106,0.5503,0.5302,0.4086,5.089,"(2, 8, 9)"
Random Forest Regressor,0.9877,1.9938,1.4091,0.6998,0.4663,0.2875,4.948,"(2, 8, 10)"
Decision Tree Regressor,1.0267,3.5634,1.8674,0.4623,0.5604,0.3546,4.435,"(2, 8, 10)"
Gradient Boosting Regressor,1.2988,2.9551,1.7162,0.5558,0.5547,0.3972,4.859,"(2, 8, 10)"
Random Forest Regressor,1.0591,2.134,1.4579,0.6683,0.487,0.3476,5.02,"(2, 8, 12)"
Decision Tree Regressor,1.2049,4.2194,2.0429,0.3422,0.615,0.4533,4.57,"(2, 8, 12)"
Gradient Boosting Regressor,1.2338,2.6517,1.625,0.5868,0.5399,0.4191,4.916,"(2, 8, 12)"
Random Forest Regressor,0.878,1.5356,1.2305,0.7418,0.4335,0.2915,5.193,"(2, 8, 13)"
Decision Tree Regressor,0.9239,3.1398,1.7481,0.4691,0.5482,0.3705,4.734,"(2, 8, 13)"
Gradient Boosting Regressor,1.1706,2.3989,1.5435,0.5967,0.5263,0.4013,5.411,"(2, 8, 13)"
Random Forest Regressor,1.0095,2.0626,1.433,0.6657,0.4861,0.3001,5.973,"(2, 8, 15)"
Gradient Boosting Regressor,1.2002,2.5707,1.6019,0.5828,0.537,0.3887,5.177,"(2, 8, 15)"
Decision Tree Regressor,1.2546,4.5997,2.1394,0.2505,0.6613,0.4426,4.698,"(2, 8, 15)"
Random Forest Regressor,0.9769,1.8419,1.3526,0.6859,0.4688,0.31,5.453,"(2, 8, 16)"
Decision Tree Regressor,1.0719,3.5651,1.8783,0.3928,0.5979,0.4005,4.574,"(2, 8, 16)"
Gradient Boosting Regressor,1.1622,2.3631,1.5329,0.597,0.5189,0.3898,4.977,"(2, 8, 16)"
Random Forest Regressor,0.9531,1.8144,1.3423,0.7165,0.456,0.3031,5.3,"(2, 8, 17)"
Decision Tree Regressor,0.9647,3.2433,1.7698,0.4924,0.5458,0.364,4.858,"(2, 8, 17)"
Gradient Boosting Regressor,1.1942,2.5544,1.596,0.5996,0.5316,0.3927,4.944,"(2, 8, 17)"
Random Forest Regressor,1.0498,2.339,1.524,0.6368,0.484,0.3244,5.637,"(2, 9, 10)"
Decision Tree Regressor,1.2044,4.5949,2.1322,0.2859,0.6317,0.4165,4.934,"(2, 9, 10)"
Gradient Boosting Regressor,1.2328,2.8345,1.6796,0.559,0.5345,0.3991,5.36,"(2, 9, 10)"
Random Forest Regressor,0.9555,2.0327,1.4198,0.6564,0.4567,0.3062,5.453,"(2, 9, 12)"
Decision Tree Regressor,1.1097,3.8775,1.961,0.3431,0.5768,0.4147,4.916,"(2, 9, 12)"
Gradient Boosting Regressor,1.1891,2.6753,1.6323,0.5457,0.5232,0.4056,5.717,"(2, 9, 12)"
Random Forest Regressor,0.8485,1.6001,1.2587,0.6984,0.4302,0.2784,5.402,"(2, 9, 13)"
Decision Tree Regressor,0.8602,2.7826,1.6459,0.4724,0.526,0.32,4.794,"(2, 9, 13)"
Gradient Boosting Regressor,1.1291,2.3788,1.5396,0.5498,0.5125,0.4,5.525,"(2, 9, 13)"
Random Forest Regressor,0.9117,1.8177,1.342,0.6937,0.4512,0.2813,5.771,"(2, 9, 15)"
Decision Tree Regressor,1.041,3.6327,1.8928,0.3759,0.5914,0.3656,4.941,"(2, 9, 15)"
Gradient Boosting Regressor,1.1407,2.4398,1.5558,0.5879,0.5177,0.3811,5.368,"(2, 9, 15)"
Random Forest Regressor,0.853,1.5304,1.2309,0.7272,0.4323,0.2713,6.062,"(2, 9, 16)"
Decision Tree Regressor,0.9274,2.9278,1.7018,0.4754,0.545,0.351,5.702,"(2, 9, 16)"
Gradient Boosting Regressor,1.0793,2.1361,1.4582,0.6165,0.5006,0.3759,5.324,"(2, 9, 16)"
Random Forest Regressor,0.9263,1.8903,1.3705,0.6869,0.4567,0.2808,5.684,"(2, 9, 17)"
Decision Tree Regressor,1.0692,3.8575,1.9542,0.3618,0.6039,0.3876,5.206,"(2, 9, 17)"
Gradient Boosting Regressor,1.1581,2.4592,1.5662,0.5929,0.5197,0.3922,5.858,"(2, 9, 17)"
Random Forest Regressor,1.0708,2.3818,1.5365,0.6459,0.5024,0.3252,6.333,"(2, 10, 12)"
Decision Tree Regressor,1.1766,4.4036,2.0896,0.3395,0.6447,0.4278,5.071,"(2, 10, 12)"
Gradient Boosting Regressor,1.2351,2.8154,1.6717,0.5808,0.547,0.3976,5.294,"(2, 10, 12)"
Random Forest Regressor,0.9643,1.904,1.3746,0.6841,0.4604,0.3141,5.324,"(2, 10, 13)"
Decision Tree Regressor,1.0311,3.6212,1.8903,0.3981,0.5819,0.4043,5.162,"(2, 10, 13)"
Gradient Boosting Regressor,1.1759,2.4863,1.5735,0.5895,0.5223,0.4041,5.083,"(2, 10, 13)"
Random Forest Regressor,0.9863,2.099,1.4459,0.6735,0.4705,0.2912,5.794,"(2, 10, 15)"
Decision Tree Regressor,1.0457,3.6451,1.8917,0.4332,0.5835,0.3741,4.788,"(2, 10, 15)"
Gradient Boosting Regressor,1.1744,2.573,1.6018,0.5996,0.5229,0.3681,5.341,"(2, 10, 15)"
Random Forest Regressor,0.9505,1.8959,1.3711,0.7048,0.4557,0.2985,5.354,"(2, 10, 16)"
Decision Tree Regressor,1.0817,3.791,1.9312,0.4054,0.5621,0.4395,5.195,"(2, 10, 16)"
Gradient Boosting Regressor,1.1682,2.499,1.5765,0.6101,0.5159,0.3869,5.185,"(2, 10, 16)"
Random Forest Regressor,1.07,2.2797,1.5065,0.6623,0.4914,0.3257,5.337,"(2, 10, 17)"
Decision Tree Regressor,1.1686,4.1989,2.0461,0.377,0.6128,0.4084,5.322,"(2, 10, 17)"
Gradient Boosting Regressor,1.2591,2.8785,1.6947,0.5729,0.5471,0.3931,5.289,"(2, 10, 17)"
Decision Tree Regressor,0.7649,2.161,1.4621,0.6349,0.4866,0.2915,5.075,"(2, 12, 13)"
Random Forest Regressor,0.9159,1.7117,1.305,0.7128,0.4478,0.3136,5.99,"(2, 12, 13)"
Gradient Boosting Regressor,1.1279,2.2563,1.4971,0.6221,0.5124,0.4067,5.552,"(2, 12, 13)"
Random Forest Regressor,0.9878,2.1206,1.4462,0.6522,0.482,0.3138,6.213,"(2, 12, 15)"
Gradient Boosting Regressor,1.1284,2.4624,1.5612,0.594,0.5256,0.3811,5.271,"(2, 12, 15)"
Decision Tree Regressor,1.1782,4.4916,2.0886,0.2654,0.6224,0.4509,4.995,"(2, 12, 15)"
Random Forest Regressor,0.967,1.8528,1.3576,0.6914,0.4663,0.3274,5.38,"(2, 12, 16)"
Decision Tree Regressor,1.0209,3.2307,1.7782,0.4612,0.5658,0.4362,5.01,"(2, 12, 16)"
Gradient Boosting Regressor,1.1162,2.2348,1.4915,0.6284,0.5112,0.3877,5.468,"(2, 12, 16)"
Random Forest Regressor,1.0337,2.127,1.4526,0.6809,0.4911,0.3369,5.411,"(2, 12, 17)"
Decision Tree Regressor,1.148,4.0893,2.0021,0.3759,0.6221,0.4463,4.951,"(2, 12, 17)"
Gradient Boosting Regressor,1.225,2.7147,1.6437,0.5913,0.5502,0.408,5.229,"(2, 12, 17)"
Random Forest Regressor,0.8311,1.5398,1.2383,0.7242,0.4283,0.2738,5.322,"(2, 13, 15)"
Decision Tree Regressor,0.8629,2.8027,1.654,0.4945,0.537,0.3291,4.627,"(2, 13, 15)"
Gradient Boosting Regressor,1.0395,2.0339,1.4246,0.635,0.4954,0.3588,5.03,"(2, 13, 15)"
Random Forest Regressor,0.8759,1.5154,1.2245,0.7329,0.4338,0.3006,5.747,"(2, 13, 16)"
Decision Tree Regressor,0.8981,2.7351,1.6375,0.5166,0.535,0.3723,5.044,"(2, 13, 16)"
Gradient Boosting Regressor,1.0622,1.9915,1.4048,0.6484,0.4973,0.3785,5.51,"(2, 13, 16)"
Random Forest Regressor,0.8596,1.516,1.2258,0.7432,0.4282,0.2934,5.321,"(2, 13, 17)"
Decision Tree Regressor,0.931,2.8845,1.6855,0.5104,0.555,0.3592,4.68,"(2, 13, 17)"
Gradient Boosting Regressor,1.1061,2.2123,1.4815,0.6236,0.5011,0.393,5.081,"(2, 13, 17)"
Random Forest Regressor,0.8752,1.6272,1.2664,0.7214,0.4445,0.2766,5.219,"(2, 15, 16)"
Decision Tree Regressor,0.9822,3.1539,1.7672,0.454,0.5745,0.3745,4.723,"(2, 15, 16)"
Gradient Boosting Regressor,1.0503,2.0703,1.4314,0.644,0.4942,0.3535,5.08,"(2, 15, 16)"
Random Forest Regressor,0.8878,1.7027,1.3001,0.7255,0.4551,0.267,5.324,"(2, 15, 17)"
Decision Tree Regressor,1.025,3.7563,1.8968,0.4013,0.5877,0.3881,4.658,"(2, 15, 17)"
Gradient Boosting Regressor,1.11,2.3263,1.5203,0.6246,0.5191,0.3492,5.135,"(2, 15, 17)"
Random Forest Regressor,0.9381,1.7422,1.3154,0.7166,0.4524,0.306,5.361,"(2, 16, 17)"
Decision Tree Regressor,1.0622,3.5036,1.8572,0.4306,0.5924,0.4186,5.092,"(2, 16, 17)"
Gradient Boosting Regressor,1.1261,2.2759,1.5032,0.6301,0.5126,0.3865,5.152,"(2, 16, 17)"
Random Forest Regressor,0.9938,2.0301,1.4184,0.6321,0.4765,0.2857,6.015,"(3, 4, 5)"
Decision Tree Regressor,1.1032,3.7229,1.9155,0.3174,0.6042,0.3905,5.262,"(3, 4, 5)"
Gradient Boosting Regressor,1.2509,2.845,1.6837,0.4823,0.5492,0.3783,5.337,"(3, 4, 5)"
Random Forest Regressor,0.8562,1.549,1.2426,0.6986,0.4368,0.2685,6.126,"(3, 4, 6)"
Decision Tree Regressor,0.89,2.8083,1.67,0.4549,0.5388,0.3185,5.039,"(3, 4, 6)"
Gradient Boosting Regressor,1.1531,2.3576,1.5339,0.5403,0.5304,0.3684,5.424,"(3, 4, 6)"
Random Forest Regressor,0.9691,1.8778,1.3646,0.6788,0.4685,0.2926,5.939,"(3, 4, 8)"
Decision Tree Regressor,1.0397,3.6001,1.8805,0.3822,0.589,0.3819,4.948,"(3, 4, 8)"
Gradient Boosting Regressor,1.2405,2.718,1.6438,0.5353,0.548,0.3822,5.922,"(3, 4, 8)"
Random Forest Regressor,0.9126,1.8083,1.3398,0.6639,0.4475,0.2709,5.743,"(3, 4, 9)"
Decision Tree Regressor,0.9487,3.1577,1.762,0.4148,0.547,0.3432,5.206,"(3, 4, 9)"
Gradient Boosting Regressor,1.1869,2.5523,1.5942,0.5248,0.5222,0.3906,5.809,"(3, 4, 9)"
Random Forest Regressor,1.0436,2.1643,1.4666,0.65,0.4935,0.294,5.654,"(3, 4, 10)"
Decision Tree Regressor,1.0812,3.8206,1.948,0.3781,0.608,0.3857,4.565,"(3, 4, 10)"
Gradient Boosting Regressor,1.2946,2.988,1.7269,0.5141,0.5636,0.3874,5.076,"(3, 4, 10)"
Random Forest Regressor,0.9833,1.9993,1.4091,0.6549,0.4707,0.3035,5.391,"(3, 4, 12)"
Decision Tree Regressor,1.017,3.7396,1.919,0.3402,0.5888,0.3733,4.762,"(3, 4, 12)"
Gradient Boosting Regressor,1.2302,2.798,1.6694,0.5167,0.5512,0.3904,4.883,"(3, 4, 12)"
Random Forest Regressor,0.8704,1.5751,1.249,0.7051,0.4314,0.2869,5.199,"(3, 4, 13)"
Decision Tree Regressor,0.9207,2.8643,1.6639,0.4686,0.5542,0.3524,4.931,"(3, 4, 13)"
Gradient Boosting Regressor,1.1182,2.3028,1.5124,0.5683,0.5089,0.3743,5.283,"(3, 4, 13)"
Random Forest Regressor,0.8675,1.672,1.288,0.6932,0.4455,0.2478,5.67,"(3, 4, 15)"
Decision Tree Regressor,0.9404,3.175,1.7638,0.4122,0.5644,0.3079,4.943,"(3, 4, 15)"
Gradient Boosting Regressor,1.1396,2.4403,1.5589,0.5521,0.5233,0.3493,5.446,"(3, 4, 15)"
Random Forest Regressor,0.9087,1.7169,1.3031,0.6889,0.4485,0.2821,5.799,"(3, 4, 16)"
Decision Tree Regressor,1.0534,3.4918,1.8405,0.3691,0.5871,0.3929,4.876,"(3, 4, 16)"
Gradient Boosting Regressor,1.1604,2.4688,1.5667,0.5492,0.5278,0.3745,5.486,"(3, 4, 16)"
Random Forest Regressor,0.8822,1.6566,1.2767,0.7198,0.4401,0.2552,5.441,"(3, 4, 17)"
Decision Tree Regressor,1.0069,3.534,1.8709,0.3909,0.594,0.3597,4.988,"(3, 4, 17)"
Gradient Boosting Regressor,1.1846,2.595,1.602,0.5589,0.5346,0.3592,5.262,"(3, 4, 17)"
Random Forest Regressor,0.9014,1.5965,1.2603,0.6832,0.4403,0.2817,5.681,"(3, 5, 6)"
Decision Tree Regressor,1.0255,3.1941,1.778,0.3655,0.5807,0.3702,4.916,"(3, 5, 6)"
Gradient Boosting Regressor,1.1258,2.3088,1.5166,0.5405,0.5095,0.3693,5.392,"(3, 5, 6)"
Random Forest Regressor,1.0054,1.9955,1.4092,0.6413,0.4783,0.2899,5.768,"(3, 5, 8)"
Decision Tree Regressor,1.1047,3.5511,1.8798,0.3607,0.5881,0.4,4.964,"(3, 5, 8)"
Gradient Boosting Regressor,1.262,2.8132,1.674,0.4951,0.5492,0.39,5.48,"(3, 5, 8)"
Random Forest Regressor,0.9283,1.7558,1.3204,0.6655,0.447,0.28,5.29,"(3, 5, 9)"
Decision Tree Regressor,1.0308,3.2848,1.8042,0.3752,0.5613,0.3715,4.501,"(3, 5, 9)"
Gradient Boosting Regressor,1.1878,2.5155,1.5827,0.5198,0.5195,0.3861,5.245,"(3, 5, 9)"
Random Forest Regressor,1.0532,2.2056,1.481,0.636,0.4922,0.298,5.357,"(3, 5, 10)"
Decision Tree Regressor,1.2465,4.5609,2.1177,0.2437,0.6542,0.3922,4.897,"(3, 5, 10)"
Gradient Boosting Regressor,1.2659,2.8827,1.694,0.5251,0.5462,0.3694,5.405,"(3, 5, 10)"
Random Forest Regressor,1.0117,2.095,1.4436,0.619,0.4866,0.3004,5.425,"(3, 5, 12)"
Decision Tree Regressor,1.0604,3.4516,1.8477,0.3701,0.5831,0.4089,4.813,"(3, 5, 12)"
Gradient Boosting Regressor,1.2311,2.7811,1.6658,0.4976,0.5494,0.3871,5.146,"(3, 5, 12)"
Random Forest Regressor,0.9004,1.6262,1.2726,0.6885,0.4464,0.2846,5.26,"(3, 5, 13)"
Decision Tree Regressor,1.0494,3.453,1.8464,0.3353,0.5936,0.3789,5.646,"(3, 5, 13)"
Gradient Boosting Regressor,1.1697,2.4704,1.5699,0.5253,0.5218,0.384,5.447,"(3, 5, 13)"
Random Forest Regressor,0.9229,1.81,1.3403,0.6637,0.4633,0.2605,5.918,"(3, 5, 15)"
Decision Tree Regressor,1.0259,3.3304,1.8086,0.3868,0.5774,0.3553,5.078,"(3, 5, 15)"
Gradient Boosting Regressor,1.1452,2.5224,1.5841,0.5296,0.5267,0.3388,5.468,"(3, 5, 15)"
Random Forest Regressor,0.9216,1.6979,1.298,0.6783,0.447,0.2847,6.063,"(3, 5, 16)"
Decision Tree Regressor,1.0117,3.1465,1.7537,0.4008,0.5508,0.3476,5.123,"(3, 5, 16)"
Gradient Boosting Regressor,1.1455,2.3764,1.535,0.5503,0.5094,0.3846,5.488,"(3, 5, 16)"
Random Forest Regressor,0.967,1.8853,1.3707,0.6725,0.4688,0.2852,5.924,"(3, 5, 17)"
Decision Tree Regressor,1.0394,3.4119,1.8381,0.4043,0.5931,0.3716,5.136,"(3, 5, 17)"
Gradient Boosting Regressor,1.22,2.7092,1.645,0.5291,0.5386,0.3864,5.554,"(3, 5, 17)"
Random Forest Regressor,0.8715,1.5516,1.2422,0.6924,0.4409,0.2716,5.958,"(3, 6, 8)"
Decision Tree Regressor,0.9932,3.1179,1.7611,0.3755,0.5739,0.3803,4.927,"(3, 6, 8)"
